time_s,dt_s,wall_s,total_volume_m3,debris_volume_m3,entrained_m3,ice_volume_m3,melted_m3,max_h_m,max_speed_m_s,debris_front_route_km,debris_front_upper_km,flood_front_route_km,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,series_origin
1000.0,0.151482031453952,68.7,42363386.71875,31108746.09375,6015359.802205791,452958.4533691406,6630981.309314899,50.82320022583008,33.498321533203125,13.05,35.13,13.11,15496.236328125,12613.0986328125,11.570825576782228,1807.4661865234373,0.811883270740509,210.0,14627.8642578125,11769.8720703125,35.32349395751953,1799.654296875,0.807823657989502,240.0,171.56954956054688,7.787677475530422e-19,2.755478620529175,1439.5797119140625,7.835731693111379e-21,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1005.0,0.1490613042193445,69.0,42363021.09375,31104112.5,6026493.3152093785,452205.7800292969,6631732.692531485,50.96279144287109,33.45528030395508,13.11,35.19,13.2,15339.0302734375,12486.9267578125,11.524621963500977,1807.46044921875,0.8119796514511108,210.0,14428.6806640625,11609.708984375,35.232521057128906,1799.573974609375,0.8078535795211792,240.0,171.57180786132812,1.311360844708702e-15,2.755549907684326,1439.579833984375,1.3200862899170461e-17,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1010.0,0.1471214789884243,69.4,42363337.5,31099978.125,6038265.350063075,451460.6323242188,6632476.530540723,51.08598709106445,33.41327667236328,13.26,35.28,13.29,15232.5205078125,12401.81640625,11.49604034423828,1807.4534912109373,0.8120689988136292,210.0,14213.5380859375,11436.8828125,35.138797760009766,1799.490478515625,0.8078834414482117,240.0,171.5777130126953,2.931759435914616e-12,2.755635023117065,1439.579833984375,2.95282495557745e-14,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1015.0,0.1458324785588729,69.7,42364395.703125,31096378.125,6050702.286024322,450719.6594238281,6633216.206472356,51.19538879394531,33.372894287109375,13.29,35.34,13.35,15154.2353515625,12339.4921875,11.477898597717283,1807.44677734375,0.8121514916419983,210.0,13992.90625,11259.6708984375,35.04328536987305,1799.40380859375,0.8079121112823486,240.0,171.59722900390625,5.854746465416838e-09,2.755767107009888,1439.5799560546875,5.885453929765916e-11,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1020.0,0.145358648095339,70.1,42364912.5,31092426.5625,6062515.67158245,449976.9836425781,6633957.591529366,51.29243087768555,33.33387756347656,13.38,35.43,13.41,15109.232421875,12304.0556640625,11.474519729614258,1807.439208984375,0.8122286796569824,210.0,13779.3505859375,11088.0205078125,34.947269439697266,1799.3143310546875,0.8079389929771423,240.0,172.7579345703125,1.2370790500426663e-05,2.7602202892303467,1439.58203125,1.2261209292319108e-07,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1025.0,0.1457828808090653,70.4,42365569.921875,31088591.015625,6074418.763057818,449231.5612792969,6634701.741662238,51.37591552734375,33.2963752746582,13.44,35.49,13.5,15089.4453125,12289.0234375,11.479432106018066,1807.429931640625,0.81230229139328,210.0,13585.091796875,10931.4873046875,34.85197448730469,1799.222412109375,0.8079630732536316,240.0,217.64288330078125,0.0264098793268203,2.9002432823181152,1439.67822265625,0.0001892016007332,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1030.0,0.1470354375724127,70.8,42366452.34375,31084938.28125,6086445.663396944,448486.9079589844,6635445.153307531,51.44627380371094,33.260887145996094,13.5,35.55,13.56,15053.3427734375,12260.658203125,11.475715637207031,1807.4185791015625,0.8123712539672852,210.0,13414.630859375,10793.47265625,34.756378173828125,1799.1275634765625,0.8079839944839478,240.0,1018.3209228515624,17.243885040283203,4.335908889770508,1441.11669921875,0.023965798318386,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1035.0,0.1488254430576034,71.1,42367092.1875,31081155.46875,6098129.228644003,447742.2546386719,6636188.661893725,51.50799179077149,33.22835159301758,13.56,35.61,13.65,15000.1103515625,12218.263671875,11.4619140625,1807.405029296875,0.8124322891235352,210.0,13264.1494140625,10670.8857421875,34.65855026245117,1799.0286865234375,0.8080012798309326,240.0,3284.53369140625,328.6730651855469,7.139735698699951,1443.7384033203125,0.1358714699745178,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1040.0,0.150652526035401,71.5,42367693.359375,31077365.625,6109672.478552093,446996.0632324219,6636933.767255105,51.56494522094727,33.20167541503906,13.62,35.7,13.68,14948.11328125,12176.69140625,11.44589614868164,1807.3892822265625,0.8124814629554749,210.0,13130.689453125,10561.490234375,34.55831527709961,1798.925537109375,0.8080139756202698,240.0,4681.990234375,868.3311767578125,8.615234375,1445.094970703125,0.2340725213289261,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
1045.0,0.1519128292263758,71.8,42368716.40625,31073902.734375,6121532.010255684,446251.3275146485,6637677.43517625,51.6206169128418,33.16787338256836,13.68,35.73,13.77,14908.185546875,12144.7158203125,11.43372917175293,1807.37109375,0.8125165104866028,210.0,13018.4453125,10468.78515625,34.4587287902832,1798.8203125,0.8080223202705383,240.0,5312.1953125,1313.0479736328125,9.286789894104004,1445.61474609375,0.2915042638778686,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
