scenario_id,method,budget_fraction,trajectory_h_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,false_positive_wet_fraction,mixture_volume_relative_error,debris_front_mae_km
JILONG_EI_0079,RiskTemporal_B10,0.1,1.076066180709239,1.99768577184078,0.7473067773607872,0.5324509699250234,0.3535718367552845,0.3003564287577154,0.5447398029127842,0.1205592635403161,10.954436868875169
JILONG_EI_0079,RiskTemporal_B20,0.2,1.862819620113197,1.0613019451407464,0.7345833515887947,0.5382615631692317,0.3818520994924009,0.3410672853828306,0.4130393060978238,0.2810558941676647,11.934755467894403
JILONG_EI_0089,RiskTemporal_B05,0.05,1.0826055137531283,2.630880922804442,0.7707589571126567,0.5719862653256397,0.3647952065972604,0.2360853135207839,0.5691798888911702,0.1416843274209756,10.535454739223828
JILONG_EI_0089,RiskTemporal_B10,0.1,1.074414312300464,2.398737442270387,0.7605368389857562,0.5826484801312042,0.356222394626106,0.2467388287538162,0.561382857275989,0.1360985445062724,10.260839384752554
JILONG_EI_0089,RiskTemporal_B20,0.2,1.2734778780617768,1.0058793251255262,0.751217545576168,0.5723361500991608,0.3955697372262199,0.3323653114360104,0.4210076661183776,0.1564758749487822,11.921249941819244
JILONG_EI_0099,RiskTemporal_B05,0.05,1.1207412693213517,3.653391994501383,0.775685636344823,0.573116259167718,0.3731646647245452,0.2480630691858094,0.5572842048583185,0.1559967987249861,11.12387344954719
JILONG_EI_0099,RiskTemporal_B10,0.1,1.1165751055181792,1.821075394327564,0.7388739144980766,0.5259717739053927,0.3680084359397763,0.2652094160807092,0.5367314936989654,0.1297674195331277,11.377817174918215
JILONG_EI_0099,RiskTemporal_B20,0.2,1.1624574805099088,1.0043236718978648,0.7185189298482324,0.5436866113484294,0.4182653287379771,0.3606290672451193,0.3830407399016974,0.1266978065722944,12.788750079770884
JILONG_EI_0109,RiskTemporal_B05,0.05,1.0791531390276894,3.656051097613022,0.7625527010295956,0.508195962290751,0.3811785489788404,0.2479736227503778,0.5462093406330524,0.1352118955907002,11.71191493796964
JILONG_EI_0109,RiskTemporal_B10,0.1,1.0511211949143116,1.72545965554367,0.741695260378457,0.5049835243015687,0.375933833984901,0.2781019058732011,0.5276020558363954,0.1419464114285198,11.408085156417062
JILONG_EI_0109,RiskTemporal_B20,0.2,1.3955423744620927,0.8923149877482413,0.7114128838194907,0.5152100362981374,0.4121485284302693,0.3514748649771499,0.3992491803450315,0.175602020384953,12.35788771426174
JILONG_EI_0119,RiskTemporal_B05,0.05,1.182957623691797,4.54758838813372,0.7611109788926326,0.543337619417987,0.3828538453606447,0.2684559079818752,0.5522569223470604,0.3798667219176654,13.001408663643918
JILONG_EI_0119,RiskTemporal_B10,0.1,1.1669693332189994,2.449624652741809,0.7350867549355119,0.527130088821031,0.406875673277581,0.344615109841043,0.4938355420194749,0.2338310010593344,12.749577608956418
JILONG_EI_0119,RiskTemporal_B20,0.2,1.894026574640911,1.240409626935942,0.7054963435388146,0.5347152249750882,0.4427708663460902,0.4014854111405835,0.3862065039368699,0.5526440184757176,15.980769210136854
JILONG_EI_0129,RiskTemporal_B05,0.05,1.0903798947661507,2.3265240568557246,0.7587037598054576,0.5782424241761066,0.3319908672819278,0.2195028923781069,0.6081742080685774,0.11661040419869,10.99678344503566
JILONG_EI_0129,RiskTemporal_B10,0.1,1.0915767939742358,1.890864013607744,0.7550550166325155,0.5760914322404534,0.3264418782522421,0.2370423546302943,0.5914947552713247,0.127423576383848,10.930909158570785
JILONG_EI_0129,RiskTemporal_B20,0.2,1.6074141515950084,1.540276723446267,0.7695444548371076,0.5591163089018848,0.3575678612732089,0.2991385285671848,0.4612202492535493,0.2548696387198799,12.432167755244496
JILONG_EI_0139,RiskTemporal_B05,0.05,1.1373831559387255,2.8829179220434744,0.7540531172150039,0.5327262515645819,0.3410712670465866,0.2365142478462558,0.5980865247987959,0.1911252752095633,12.230704525879151
JILONG_EI_0139,RiskTemporal_B10,0.1,1.0780839410004772,2.3625181945024285,0.7209290073948526,0.5206666951664988,0.350808742907111,0.2931803696622052,0.5644997699446037,0.1062219102519153,11.63133838484195
JILONG_EI_0139,RiskTemporal_B20,0.2,4.241657896259416,1.8745591367140884,0.7005316848901828,0.5240600315151012,0.3913628300767318,0.3539769884942471,0.4372030286422722,0.4917695495914035,15.13216800628217
JILONG_EI_0149,RiskTemporal_B05,0.05,1.0807712016244764,2.7710522110453057,0.7360678489796143,0.528132773870358,0.340892500042619,0.2267420425218139,0.6012269150954853,0.1191574915161592,12.133098860651677
JILONG_EI_0149,RiskTemporal_B10,0.1,1.1176397423991102,2.541911077009389,0.7199365086779019,0.5295095916052002,0.3350402057468605,0.2701958156503611,0.5873935248013503,0.193931830092838,11.759577781171863
JILONG_EI_0149,RiskTemporal_B20,0.2,4.0977305427036885,2.651577420759864,0.7206528960883436,0.5224846797655979,0.3704016514589804,0.3301636646246685,0.482604305752799,0.6998441781829761,15.42230753110839
JILONG_EI_0159,RiskTemporal_B05,0.05,1.1244907527008132,3.525820900636417,0.7723562329036935,0.5193003709873603,0.3606221323564667,0.2480137427528451,0.5658765599279213,0.1530233054284315,11.51831001358133
JILONG_EI_0159,RiskTemporal_B10,0.1,1.0420750492525586,2.0995268606877096,0.7340331524197349,0.5204959185831932,0.3674336106700378,0.2918891431477244,0.5297422564640064,0.1487013364259676,11.579155046125534
JILONG_EI_0159,RiskTemporal_B20,0.2,1.2243268539765697,0.9315357283264198,0.733579592981232,0.5436440214593773,0.3983394186638247,0.3525446579036063,0.3846367527195186,0.2006878643934595,12.441608592972056
JILONG_EI_0169,RiskTemporal_B05,0.05,1.0617046811609456,3.219107898276877,0.7448250322012885,0.5209686552904077,0.3755559722681508,0.2345272668602775,0.5563736112125565,0.1371401012678109,11.442978841404544
JILONG_EI_0169,RiskTemporal_B10,0.1,1.0794205595754307,2.240218431331084,0.7504200482001986,0.5194855606477335,0.3715247197625954,0.2555822498586772,0.5415938276773871,0.1077550906406698,11.305744911127904
JILONG_EI_0169,RiskTemporal_B20,0.2,1.2692604059795092,0.844854246505143,0.713681869880174,0.519551155236744,0.4043128070599757,0.3364667415959947,0.4000193330278024,0.1567472492986445,12.839580445231258
JILONG_EI_0179,RiskTemporal_B05,0.05,1.0996481237573847,3.214819659110639,0.7607402954454696,0.5187880401747822,0.377439615533758,0.2536787143147759,0.5553596797718898,0.1396024973421684,11.150704435689349
JILONG_EI_0179,RiskTemporal_B10,0.1,1.089310717868071,1.7451308113132271,0.7293476132293102,0.5099098780875175,0.3807556085951118,0.3008015087223008,0.5310235732085967,0.1207491823263677,11.162535376741852
JILONG_EI_0179,RiskTemporal_B20,0.2,1.7492253398836766,0.903816269139564,0.7205068376022535,0.5271391064020683,0.4284768239351541,0.3819579702716555,0.3857444107556889,0.2799181456143283,12.59541680229207
JILONG_EI_0189,RiskTemporal_B05,0.05,1.0769785058022656,3.37784189281008,0.7340502657554849,0.4973064601997597,0.3763622706159409,0.2497035182500988,0.5596798246915452,0.1346144120325391,11.946170349083577
JILONG_EI_0189,RiskTemporal_B10,0.1,1.1361278043934206,2.347563882602965,0.7228235042284692,0.4865359221041597,0.3792441686139305,0.2905885913148736,0.5370400916023025,0.1863908244613295,11.977234152627858
JILONG_EI_0189,RiskTemporal_B20,0.2,2.643459009364728,1.259548186221256,0.6817972738053315,0.4944138410158269,0.4113639172654928,0.3629225318395097,0.4437908611585869,0.3857030576446136,13.540352380204894
JILONG_EI_0199,RiskTemporal_B05,0.05,1.1241739581570485,3.3616450634245107,0.7692419039024077,0.5257793515998979,0.3489647058274288,0.2496921405287939,0.5794075433719287,0.1465083816489463,11.525915580106451
JILONG_EI_0199,RiskTemporal_B10,0.1,1.0680001555518692,2.507031178383707,0.7510118557847897,0.5312802732728851,0.3463193174058783,0.2973445143256464,0.5577460909216112,0.1257814423524641,11.6811973118866
JILONG_EI_0199,RiskTemporal_B20,0.2,1.7545600951263791,1.7476012022848906,0.7402105092859526,0.5465515303949722,0.3524556987282132,0.3155420931689994,0.4622592505143859,0.3004077733492211,12.474084757793118
