method,scenario_id,eligible_patch_count,total_selections,unique_selected_patches,unique_patch_fraction,unique_to_selection_ratio,top1_selection_share,top5_share,top10_share,consecutive_overlap_count,consecutive_denominator_count,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak
EngineeringROI_B10,JILONG_EI_0069,182,2736,113,0.6208791208791209,0.041301169590643276,0.05263157894736842,0.20175438596491227,0.34612573099415206,1626,2717,0.5984541774015458,0.9203539823008849,24.212389380530972,144,3.6397255051467785,8.415929203539823
EngineeringROI_B10,JILONG_EI_0079,182,2736,116,0.6373626373626373,0.04239766081871345,0.051535087719298246,0.18823099415204678,0.34100877192982454,1752,2717,0.6448288553551711,0.9051724137931034,23.586206896551722,141,3.762595419847328,9.025862068965518
EngineeringROI_B10,JILONG_EI_0089,182,2736,113,0.6208791208791209,0.041301169590643276,0.049342105263157895,0.1911549707602339,0.32894736842105265,1472,2717,0.541774015458226,0.911504424778761,24.212389380530972,135,3.4254670224933284,7.867256637168142
EngineeringROI_B10,JILONG_EI_0099,182,2736,110,0.6043956043956044,0.0402046783625731,0.05263157894736842,0.20211988304093567,0.3300438596491228,1572,2717,0.5785793154214207,0.9090909090909091,24.87272727272727,144,3.592916984006093,8.636363636363637
EngineeringROI_B10,JILONG_EI_0109,182,2736,111,0.6098901098901099,0.04057017543859649,0.05263157894736842,0.18896198830409358,0.3201754385964912,1499,2717,0.5517114464482885,0.9459459459459459,24.64864864864865,144,3.6563809523809523,7.288288288288288
EngineeringROI_B10,JILONG_EI_0119,182,2736,112,0.6153846153846154,0.04093567251461988,0.05263157894736842,0.20248538011695907,0.3220029239766082,1719,2717,0.6326831063673168,0.9107142857142857,24.428571428571427,144,3.6009908536585367,9.473214285714286
EngineeringROI_B10,JILONG_EI_0129,182,2736,115,0.6318681318681318,0.04203216374269006,0.05226608187134503,0.20833333333333334,0.32456140350877194,1440,2717,0.5299963194700037,0.9130434782608695,23.791304347826088,143,3.713849675696299,7.608695652173913
EngineeringROI_B10,JILONG_EI_0139,182,2736,117,0.6428571428571429,0.04276315789473684,0.05263157894736842,0.19188596491228072,0.31871345029239767,1821,2717,0.6702245123297755,0.9316239316239316,23.384615384615383,144,3.9549446353570064,11.076923076923077
EngineeringROI_B10,JILONG_EI_0149,182,2736,116,0.6373626373626373,0.04239766081871345,0.05263157894736842,0.19736842105263158,0.32090643274853803,1697,2717,0.624585940375414,0.8706896551724138,23.586206896551722,144,3.5400763358778624,9.60344827586207
EngineeringROI_B10,JILONG_EI_0159,182,2736,115,0.6318681318681318,0.04203216374269006,0.05263157894736842,0.20248538011695907,0.33881578947368424,1693,2717,0.6231137283768863,0.9130434782608695,23.791304347826088,144,3.9439145364364747,8.930434782608696
EngineeringROI_B10,JILONG_EI_0169,182,2736,112,0.6153846153846154,0.04093567251461988,0.05263157894736842,0.18567251461988304,0.3125,1377,2717,0.506808980493191,0.9285714285714286,24.428571428571427,144,3.8669969512195124,7.696428571428571
EngineeringROI_B10,JILONG_EI_0179,182,2736,114,0.6263736263736264,0.041666666666666664,0.05263157894736842,0.19371345029239767,0.3355263157894737,1709,2717,0.6290025763709974,0.9035087719298246,24.0,144,3.622425629290618,8.412280701754385
EngineeringROI_B10,JILONG_EI_0189,182,2736,114,0.6263736263736264,0.041666666666666664,0.05263157894736842,0.1827485380116959,0.31761695906432746,1662,2717,0.6117040853882959,0.9122807017543859,24.0,144,3.8417238749046527,8.359649122807017
EngineeringROI_B10,JILONG_EI_0199,182,2736,112,0.6153846153846154,0.04093567251461988,0.05263157894736842,0.19846491228070176,0.33516081871345027,1873,2717,0.6893632683106368,0.9553571428571429,24.428571428571427,144,3.901676829268293,10.616071428571429
EngineeringROI_B20,JILONG_EI_0009,182,5328,131,0.7197802197802198,0.024587087087087088,0.026463963963963964,0.12481231231231231,0.23517267267267267,3924,5291,0.7416367416367416,0.9389312977099237,40.67175572519084,141,2.5376178564556473,16.709923664122137
EngineeringROI_B20,JILONG_EI_0019,182,5328,125,0.6868131868131868,0.02346096096096096,0.02702702702702703,0.12274774774774774,0.22578828828828829,3804,5291,0.718956718956719,0.984,42.624,144,2.471266576974822,17.32
EngineeringROI_B20,JILONG_EI_0029,182,5328,131,0.7197802197802198,0.024587087087087088,0.026839339339339338,0.12256006006006007,0.22578828828828829,3722,5291,0.7034587034587034,0.9694656488549618,40.67175572519084,143,2.5254954781604773,17.633587786259543
EngineeringROI_B20,JILONG_EI_0039,182,5328,124,0.6813186813186813,0.023273273273273273,0.02702702702702703,0.12987987987987987,0.24380630630630631,3994,5291,0.7548667548667549,0.967741935483871,42.96774193548387,144,2.534588777863182,19.25
EngineeringROI_B20,JILONG_EI_0049,182,5328,134,0.7362637362637363,0.02515015015015015,0.026463963963963964,0.11411411411411411,0.21396396396396397,3706,5291,0.7004347004347005,0.9626865671641791,39.76119402985075,141,2.583172891798229,15.35820895522388
EngineeringROI_B20,JILONG_EI_0059,182,5328,126,0.6923076923076923,0.02364864864864865,0.026839339339339338,0.12612612612612611,0.2317942942942943,3975,5291,0.7512757512757513,0.9761904761904762,42.285714285714285,143,2.60399846212995,19.182539682539684
EngineeringROI_B20,JILONG_EI_0069,182,5328,129,0.7087912087912088,0.02421171171171171,0.026839339339339338,0.12218468468468469,0.22954204204204204,3708,5291,0.7008127008127009,0.9844961240310077,41.30232558139535,143,2.6133871898442007,15.767441860465116
EngineeringROI_B20,JILONG_EI_0079,182,5328,126,0.6923076923076923,0.02364864864864865,0.02665165165165165,0.12424924924924925,0.22635135135135134,4031,5291,0.7618597618597619,0.9761904761904762,42.285714285714285,142,2.4917339484813534,17.5
