chainage_m,x,y
7540.2254580787785,349495.91483560513,3135324.7604153105
7560.225458078717,349477.63836480846,3135332.8826450054
7580.225458078602,349459.36189401185,3135341.0048747
7600.225458078729,349441.0854232152,3135349.1271043955
7620.2254580786675,349422.8089524185,3135357.2493340904
7640.225458078795,349404.53248162183,3135365.3715637857
7660.225458078733,349386.25601082516,3135373.4937934806
7680.225458078618,349367.97954002855,3135381.6160231754
7700.225458078746,349349.7030692319,3135389.7382528707
7720.225458078684,349331.4265984352,3135397.8604825656
7740.225458078811,349313.15012763854,3135405.982712261
7760.225458078749,349294.87365684187,3135414.104941956
7780.225458078635,349276.59718604526,3135422.2271716506
7800.225458078762,349258.3207152486,3135430.349401346
7819.8983149046635,349239.61074242316,3135436.428728
7839.8983149046635,349219.61074242316,3135436.428728
7859.8983149046635,349199.61074242316,3135436.428728
7879.8983149046635,349179.61074242316,3135436.428728
7899.8983149046635,349159.61074242316,3135436.428728
7919.8983149046635,349139.61074242316,3135436.428728
7939.8983149046635,349119.61074242316,3135436.428728
7959.8983149046635,349099.61074242316,3135436.428728
7979.8983149046635,349079.61074242316,3135436.428728
7999.8983149046635,349059.61074242316,3135436.428728
8019.8983149046635,349039.61074242316,3135436.428728
8039.8983149046635,349019.61074242316,3135436.428728
8059.8983149046635,348999.61074242316,3135436.428728
8079.8983149046635,348979.61074242316,3135436.428728
8099.8983149046635,348959.61074242316,3135436.428728
8119.8983149046635,348939.61074242316,3135436.428728
8139.8983149046635,348919.61074242316,3135436.428728
8159.8983149046635,348899.61074242316,3135436.428728
8179.8983149046635,348879.61074242316,3135436.428728
8199.898314904663,348859.61074242316,3135436.428728
8219.898314904663,348839.61074242316,3135436.428728
8239.898314904663,348819.61074242316,3135436.428728
8259.898314904663,348799.61074242316,3135436.428728
8279.898314904663,348779.61074242316,3135436.428728
8299.898314904663,348759.61074242316,3135436.428728
8319.898314904663,348739.61074242316,3135436.428728
8339.898314904663,348719.61074242316,3135436.428728
8359.898314904663,348699.61074242316,3135436.428728
8379.898314904663,348679.61074242316,3135436.428728
8399.898314904663,348659.61074242316,3135436.428728
8419.898314904663,348639.61074242316,3135436.428728
8439.898314904663,348619.61074242316,3135436.428728
8459.898314904663,348599.61074242316,3135436.428728
8479.898314904663,348579.61074242316,3135436.428728
8499.898314904663,348559.61074242316,3135436.428728
8519.898314904663,348539.61074242316,3135436.428728
8539.898314904663,348519.61074242316,3135436.428728
8559.898314904663,348499.61074242316,3135436.428728
8579.898314904663,348479.61074242316,3135436.428728
8598.633178201617,348461.3556542441,3135432.2160259774
8618.633178201702,348447.21325219166,3135418.0741567872
8638.633178201459,348433.07085013925,3135403.9322875976
8658.633178201544,348418.92844808684,3135389.7904184074
8678.329285249296,348404.43319457787,3135376.455342159
8698.329285249316,348384.44855189015,3135375.671724494
8718.329285249336,348364.46390920243,3135374.888106829
8738.329285249298,348344.47926651477,3135374.104489164
8758.329285249318,348324.49462382705,3135373.320871499
8778.32928524928,348304.5099811394,3135372.537253834
8798.3292852493,348284.52533845167,3135371.753636169
8818.32928524932,348264.54069576395,3135370.9700185037
8838.329285249281,348244.5560530763,3135370.1864008387
8858.329285249301,348224.57141038857,3135369.4027831736
8878.329285249321,348204.58676770085,3135368.6191655085
8898.329285249283,348184.6021250132,3135367.8355478435
8918.329285249303,348164.61748232547,3135367.0519301784
8938.329285249341,348144.63283963775,3135366.268312513
8958.329285249303,348124.6481969501,3135365.484694848
8978.329285249323,348104.66355426237,3135364.701077183
8998.329285249343,348084.67891157465,3135363.9174595177
9018.329285249305,348064.694268887,3135363.1338418527
9038.329285249325,348044.70962619927,3135362.3502241876
9058.329285249345,348024.72498351155,3135361.5666065225
9078.329285249307,348004.7403408239,3135360.7829888575
9098.329285249327,347984.75569813617,3135359.9993711924
9118.329285249289,347964.7710554485,3135359.2157535274
9138.329285249309,347944.7864127608,3135358.4321358623
9158.329285249329,347924.80177007307,3135357.6485181972
9178.32928524929,347904.8171273854,3135356.864900532
9198.32928524931,347884.8324846977,3135356.081282867
9218.32928524933,347864.84784201,3135355.297665202
9238.329285249292,347844.8631993223,3135354.514047537
9258.329285249312,347824.8785566346,3135353.730429872
9278.329285249332,347804.8939139469,3135352.946812207
9298.329285249294,347784.9092712592,3135352.163194542
9318.329285249314,347764.9246285715,3135351.3795768768
9338.329285249334,347744.9399858838,3135350.5959592117
9358.329285249296,347724.9553431961,3135349.8123415466
9378.329285249316,347704.9707005084,3135349.0287238816
9398.329285249278,347684.98605782073,3135348.2451062165
9418.329285249298,347665.001415133,3135347.4614885515
9438.329285249318,347645.0167724453,3135346.6778708864
9458.32928524928,347625.03212975763,3135345.8942532213
9478.3292852493,347605.0474870699,3135345.1106355563
9498.32928524932,347585.0628443822,3135344.327017891
9518.329285249281,347565.07820169453,3135343.543400226
9538.329285249301,347545.0935590068,3135342.759782561
9558.329285249321,347525.1089163191,3135341.976164896
9578.329285249283,347505.12427363143,3135341.192547231
9598.329285249303,347485.1396309437,3135340.408929566
9618.329285249323,347465.154988256,3135339.625311901
9638.329285249303,347445.17034556833,3135338.8416942353
9658.329285249323,347425.1857028806,3135338.0580765703
9678.329285249285,347405.20106019295,3135337.274458905
9698.329285249305,347385.21641750523,3135336.49084124
9718.329285249325,347365.2317748175,3135335.707223575
9738.329285249287,347345.24713212985,3135334.92360591
9758.329285249307,347325.26248944213,3135334.139988245
9778.329285249327,347305.2778467544,3135333.35637058
9798.329285249289,347285.29320406675,3135332.572752915
9818.329285249309,347265.30856137903,3135331.78913525
