method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
SmoothOracleV2_B10,JILONG_EI_0009,1420,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1430,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1440,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,10,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,20,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,30,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,40,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,50,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,60,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,70,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,80,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,90,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,100,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,110,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,120,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,130,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,140,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,150,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,160,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,170,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,180,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,190,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,200,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,210,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,220,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,230,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,240,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,250,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,260,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,270,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,280,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,290,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,300,0.1,19,182,0.10529822116378618
