method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
OraclePerfectV2_B20,JILONG_EI_0129,960,1653.03271484375,0.689647386639757,1.0,1.0,1.0,1.0,1.0,840.5242919921875,402.982421875,409.5258483886719
OraclePerfectV2_B20,JILONG_EI_0129,970,1668.8603515625,0.6876240459327035,1.0,1.0,1.0,1.0,1.0,839.0643310546875,403.40777587890625,426.38818359375
OraclePerfectV2_B20,JILONG_EI_0129,980,1684.20458984375,0.686101767271233,1.0,1.0,1.0,1.0,1.0,843.9833984375,404.7505798339844,435.4706115722656
OraclePerfectV2_B20,JILONG_EI_0129,990,1696.68017578125,0.684219193563664,1.0,1.0,1.0,1.0,1.0,844.4033203125,403.248291015625,449.028564453125
OraclePerfectV2_B20,JILONG_EI_0129,1000,1711.0880126953125,0.6822818873808045,1.0,1.0,1.0,1.0,1.0,845.8941650390625,403.67156982421875,461.52227783203125
OraclePerfectV2_B20,JILONG_EI_0129,1010,1727.911376953125,0.6814237976081486,1.0,1.0,1.0,1.0,1.0,843.1167602539062,401.1743469238281,483.6203308105469
OraclePerfectV2_B20,JILONG_EI_0129,1020,1737.281005859375,0.679179884039938,1.0,1.0,1.0,1.0,1.0,848.6614990234375,399.8910827636719,488.7285461425781
OraclePerfectV2_B20,JILONG_EI_0129,1030,1749.2432861328125,0.6768017508822286,1.0,1.0,1.0,1.0,1.0,850.0772705078125,396.95684814453125,502.2090759277344
OraclePerfectV2_B20,JILONG_EI_0129,1040,1760.737548828125,0.6752422015838179,1.0,1.0,1.0,1.0,1.0,852.8065185546875,395.19793701171875,512.7330322265625
OraclePerfectV2_B20,JILONG_EI_0129,1050,1771.55126953125,0.6733458586914107,1.0,1.0,1.0,1.0,1.0,856.62890625,393.95794677734375,520.9644775390625
OraclePerfectV2_B20,JILONG_EI_0129,1060,1781.7039794921875,0.6714555427427111,1.0,1.0,1.0,1.0,1.0,859.8745727539062,393.409423828125,528.4198608398438
OraclePerfectV2_B20,JILONG_EI_0129,1070,1791.44580078125,0.670220661559232,1.0,1.0,1.0,1.0,1.0,863.6580810546875,391.9544677734375,535.8333740234375
OraclePerfectV2_B20,JILONG_EI_0129,1080,1802.7470703125,0.6688349158936618,1.0,1.0,1.0,1.0,1.0,865.2505493164062,390.41693115234375,547.07958984375
OraclePerfectV2_B20,JILONG_EI_0129,1090,1814.6123046875,0.6672792185000423,1.0,1.0,1.0,1.0,1.0,868.0621337890625,390.9427185058594,555.6074829101562
OraclePerfectV2_B20,JILONG_EI_0129,1100,1828.2467041015625,0.665760163539269,1.0,1.0,1.0,1.0,1.0,870.3660888671875,387.48651123046875,570.3941040039062
OraclePerfectV2_B20,JILONG_EI_0129,1110,1836.0819091796875,0.6640839421954122,1.0,1.0,1.0,1.0,1.0,874.215576171875,384.8507995605469,577.015625
OraclePerfectV2_B20,JILONG_EI_0129,1120,1848.3994140625,0.6621522105158522,1.0,1.0,1.0,1.0,1.0,876.9445190429688,384.00836181640625,587.4464111328125
OraclePerfectV2_B20,JILONG_EI_0129,1130,1859.408447265625,0.6605260160981519,1.0,1.0,1.0,1.0,1.0,881.38232421875,383.88494873046875,594.1412353515625
OraclePerfectV2_B20,JILONG_EI_0129,1140,1870.857421875,0.6581189618943397,1.0,1.0,1.0,1.0,1.0,884.7115478515625,383.831298828125,602.3145751953125
OraclePerfectV2_B20,JILONG_EI_0129,1150,1883.74951171875,0.6568388342483437,1.0,1.0,1.0,1.0,1.0,889.1126708984375,384.9200439453125,609.7168579101562
OraclePerfectV2_B20,JILONG_EI_0129,1160,1896.3392333984375,0.6549886642254044,1.0,1.0,1.0,1.0,1.0,894.0957641601562,385.13006591796875,617.1134033203125
OraclePerfectV2_B20,JILONG_EI_0129,1170,1910.181640625,0.6532496800781659,1.0,1.0,1.0,1.0,1.0,899.883056640625,385.4400634765625,624.8583984375
OraclePerfectV2_B20,JILONG_EI_0129,1180,1924.8536376953125,0.6515882177331664,1.0,1.0,1.0,1.0,1.0,906.2915649414062,384.6451416015625,633.9169311523438
OraclePerfectV2_B20,JILONG_EI_0129,1190,1939.104248046875,0.6495738125888789,1.0,1.0,1.0,1.0,1.0,910.81787109375,385.80084228515625,642.4856567382812
OraclePerfectV2_B20,JILONG_EI_0129,1200,1952.8524169921875,0.6476568282936338,1.0,1.0,1.0,1.0,1.0,915.2308349609375,386.14630126953125,651.4752807617188
