method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
SmoothOracleV2_B20,JILONG_EI_0029,410,1103.64013671875,0.7463860766000302,1.0,1.0,1.0,1.0,1.0,660.873291015625,367.35235595703125,75.4144515991211
SmoothOracleV2_B20,JILONG_EI_0029,420,1104.662109375,0.7427623303957773,1.0,1.0,1.0,1.0,1.0,659.0076293945312,369.29046630859375,76.3638916015625
SmoothOracleV2_B20,JILONG_EI_0029,430,1109.625244140625,0.7431030883037343,1.0,1.0,1.0,1.0,1.0,657.40966796875,373.1044616699219,79.11116790771484
SmoothOracleV2_B20,JILONG_EI_0029,440,1111.33642578125,0.7462989498645238,1.0,1.0,1.0,1.0,1.0,650.687744140625,378.9250183105469,81.7236328125
SmoothOracleV2_B20,JILONG_EI_0029,450,1108.689208984375,0.7507684969333135,1.0,1.0,1.0,1.0,1.0,640.51318359375,384.8208923339844,83.355224609375
SmoothOracleV2_B20,JILONG_EI_0029,460,1107.7724609375,0.7560929156753649,1.0,1.0,1.0,1.0,1.0,631.2027587890625,389.5587158203125,87.01099395751953
SmoothOracleV2_B20,JILONG_EI_0029,470,1107.733154296875,0.7641730488440519,1.0,1.0,1.0,1.0,1.0,626.1009521484375,391.38134765625,90.25086975097656
SmoothOracleV2_B20,JILONG_EI_0029,480,1110.775146484375,0.7687946952250638,1.0,1.0,1.0,1.0,1.0,619.6302490234375,396.4432373046875,94.70166015625
SmoothOracleV2_B20,JILONG_EI_0029,490,1111.2052001953125,0.7743843038012306,1.0,1.0,1.0,1.0,1.0,613.013671875,398.8148193359375,99.376708984375
SmoothOracleV2_B20,JILONG_EI_0029,500,1118.90625,0.7802192371430753,1.0,1.0,1.0,1.0,1.0,613.7076416015625,400.51678466796875,104.68191528320312
SmoothOracleV2_B20,JILONG_EI_0029,510,1120.08642578125,0.7848244797147644,1.0,1.0,1.0,1.0,1.0,614.70556640625,397.69769287109375,107.68327331542969
SmoothOracleV2_B20,JILONG_EI_0029,520,1123.664794921875,0.7877633145930939,1.0,1.0,1.0,1.0,1.0,610.9195556640625,400.16363525390625,112.58158111572266
SmoothOracleV2_B20,JILONG_EI_0029,530,1127.764892578125,0.7910491749409146,1.0,1.0,1.0,1.0,1.0,609.8462524414062,402.7389831542969,115.17959594726562
SmoothOracleV2_B20,JILONG_EI_0029,540,1130.655029296875,0.7933292024444396,1.0,1.0,1.0,1.0,1.0,607.5093383789062,405.1662292480469,117.97941589355469
SmoothOracleV2_B20,JILONG_EI_0029,550,1135.48193359375,0.795470045202398,1.0,1.0,1.0,1.0,1.0,606.349365234375,406.7652282714844,122.36735534667969
SmoothOracleV2_B20,JILONG_EI_0029,560,1140.31689453125,0.7954633533719982,1.0,1.0,1.0,1.0,1.0,606.8152465820312,407.6324768066406,125.86917114257812
SmoothOracleV2_B20,JILONG_EI_0029,570,1145.74267578125,0.7963877033287833,1.0,1.0,1.0,1.0,1.0,606.6075439453125,409.248291015625,129.88693237304688
SmoothOracleV2_B20,JILONG_EI_0029,580,1151.330810546875,0.7960083943528169,1.0,1.0,1.0,1.0,1.0,605.261962890625,410.692138671875,135.37680053710938
SmoothOracleV2_B20,JILONG_EI_0029,590,1154.46044921875,0.7961179459994582,1.0,1.0,1.0,1.0,1.0,600.0755615234375,414.5512390136719,139.83355712890625
SmoothOracleV2_B20,JILONG_EI_0029,600,1157.06103515625,0.7953102985124606,1.0,1.0,1.0,1.0,1.0,596.0768432617188,415.5205993652344,145.463623046875
SmoothOracleV2_B20,JILONG_EI_0029,610,1160.254150390625,0.7932352002926901,1.0,1.0,1.0,1.0,1.0,591.8233642578125,417.3349914550781,151.09571838378906
SmoothOracleV2_B20,JILONG_EI_0029,620,1167.1278076171875,0.7919300365899126,1.0,1.0,1.0,1.0,1.0,593.5293579101562,417.9813232421875,155.6171875
SmoothOracleV2_B20,JILONG_EI_0029,630,1172.974853515625,0.7914608385492892,1.0,1.0,1.0,1.0,1.0,594.3331298828125,419.4856262207031,159.1561279296875
SmoothOracleV2_B20,JILONG_EI_0029,640,1180.943603515625,0.7912788085193422,1.0,1.0,1.0,1.0,1.0,598.65771484375,418.94952392578125,163.33642578125
SmoothOracleV2_B20,JILONG_EI_0029,650,1188.26025390625,0.7914903043927924,1.0,1.0,1.0,1.0,1.0,602.7265625,418.66864013671875,166.86495971679688
SmoothOracleV2_B20,JILONG_EI_0029,660,1199.298828125,0.7919186064065545,1.0,1.0,1.0,1.0,1.0,607.71484375,417.53289794921875,174.05099487304688
SmoothOracleV2_B20,JILONG_EI_0029,670,1206.0399169921875,0.7943079080421162,1.0,1.0,1.0,1.0,1.0,610.7862548828125,419.3319396972656,175.92172241210938
SmoothOracleV2_B20,JILONG_EI_0029,680,1211.171630859375,0.7936790457491906,1.0,1.0,1.0,1.0,1.0,611.96728515625,416.70062255859375,182.5037841796875
SmoothOracleV2_B20,JILONG_EI_0029,690,1219.20654296875,0.7933349890607386,1.0,1.0,1.0,1.0,1.0,614.6197509765625,417.3906555175781,187.1961669921875
SmoothOracleV2_B20,JILONG_EI_0029,700,1227.4776611328125,0.7937521601103852,1.0,1.0,1.0,1.0,1.0,619.1253662109375,416.6324462890625,191.7198486328125
SmoothOracleV2_B20,JILONG_EI_0029,710,1236.335205078125,0.7938295600040567,1.0,1.0,1.0,1.0,1.0,622.9358520507812,415.9627380371094,197.43655395507812
SmoothOracleV2_B20,JILONG_EI_0029,720,1246.82861328125,0.7923111719211747,1.0,1.0,1.0,1.0,1.0,627.5970458984375,415.8162841796875,203.4151611328125
SmoothOracleV2_B20,JILONG_EI_0029,730,1259.0084228515625,0.791478951899795,1.0,1.0,1.0,1.0,1.0,632.0,416.771484375,210.23684692382812
