method,scenario_id,time_s,true_wet_error_fraction,false_positive_error_fraction,both_dry_error_fraction
OraclePerfectV2_B05,JILONG_EI_0069,950,0.45968789075712335,0.33791081716623034,0.2024012668502342
OraclePerfectV2_B05,JILONG_EI_0069,960,0.45894838121555404,0.3364012928320223,0.20465030082039
OraclePerfectV2_B05,JILONG_EI_0069,970,0.4564605296754192,0.33417739687421516,0.2093620485058696
OraclePerfectV2_B05,JILONG_EI_0069,980,0.4547990407780422,0.3332906248719862,0.21191030955310997
OraclePerfectV2_B05,JILONG_EI_0069,990,0.45269054378212076,0.33217944555865203,0.2151300599071814
OraclePerfectV2_B05,JILONG_EI_0069,1000,0.45066188940754764,0.33040206476882,0.21893609476293655
OraclePerfectV2_B05,JILONG_EI_0069,1010,0.4498974233699671,0.32842167163730895,0.22168090499272394
OraclePerfectV2_B05,JILONG_EI_0069,1020,0.4476134654634131,0.3276184443705038,0.22476816268852087
OraclePerfectV2_B05,JILONG_EI_0069,1030,0.4464097450244621,0.3260762395653128,0.2275139433441503
OraclePerfectV2_B05,JILONG_EI_0069,1040,0.446592475923424,0.32335366854608255,0.23005392731872396
OraclePerfectV2_B05,JILONG_EI_0069,1050,0.4429907277337906,0.3220389350804539,0.23497033718575547
OraclePerfectV2_B05,JILONG_EI_0069,1060,0.4415807839260831,0.3207362168425312,0.23768297561949572
OraclePerfectV2_B05,JILONG_EI_0069,1070,0.439202532350823,0.32008682163446106,0.24071055221838636
OraclePerfectV2_B05,JILONG_EI_0069,1080,0.4356666008148234,0.31883046660379677,0.24550290928473717
OraclePerfectV2_B05,JILONG_EI_0069,1090,0.43460252464135635,0.3182415036892409,0.24715599483924255
OraclePerfectV2_B05,JILONG_EI_0069,1100,0.43276275992081464,0.3174827476613312,0.24975446938064083
OraclePerfectV2_B05,JILONG_EI_0069,1110,0.4301100846571884,0.31677027464248747,0.2531196407003241
OraclePerfectV2_B05,JILONG_EI_0069,1120,0.42445228768288723,0.3168835883279238,0.25866410127535455
OraclePerfectV2_B05,JILONG_EI_0069,1130,0.4222178465718335,0.3163120056506105,0.26147019293908524
OraclePerfectV2_B05,JILONG_EI_0069,1140,0.4170249829506339,0.31465302633649356,0.26832208042277045
