s_m,x,y,merged_64m_elevation_m,dem_8m_elevation_m,dem_12_5m_elevation_m,merged_source,local_slope,distance_to_component_endpoint_m
1820.0,335270.1081054239,3141995.2837526603,2350.979301520449,nan,2749.0,12.5m,-0.4385338481498593,12088.0
1840.0,335281.27193340217,3141977.9756421484,2340.5191154888666,nan,2747.0,12.5m,-0.5037151568463856,12068.0
1860.0,335292.4357613805,3141960.667531637,2330.8306952465937,nan,2744.0,12.5m,-0.35282538722166235,12048.0
1880.0,335303.5995893587,3141943.3594211256,2326.4061,nan,2740.0,12.5m,-0.11061488116484952,12028.0
1900.0,335314.76341733703,3141926.0513106138,2326.4060999999997,nan,2738.0,12.5m,0.0,12008.0
1920.0,335325.9272453153,3141908.7432001024,2326.4061,nan,2737.0,12.5m,0.2898806142144963,11988.0
1940.0,335337.0910732936,3141891.435089591,2338.0013245685795,nan,2734.0,12.5m,0.7373144222533483,11968.0
1960.0,335348.25490127184,3141874.126979079,2355.898676890134,nan,2733.0,12.5m,1.030072354907088,11948.0
1980.0,335359.41872925014,3141856.8188685677,2379.204218764863,nan,2731.0,12.5m,1.089424534339048,11928.0
2000.0,335370.5825572284,3141839.5107580563,2399.475658263696,nan,2726.0,12.5m,0.5954688118075069,11908.0
2020.0,335381.7463852067,3141822.2026475444,2403.0229712371633,nan,2726.0,12.5m,0.28600622751905574,11888.0
2040.0,335392.91021318495,3141804.894537033,2410.9159073644582,nan,2724.0,12.5m,0.5099149716142051,11868.0
2060.0,335404.95849329873,3141788.242168766,2423.4195701017316,nan,2721.0,12.5m,0.6732762879138591,11848.0
2080.0,335418.27577127604,3141772.530649047,2437.8469588810126,nan,2720.0,12.5m,0.5480332474567149,11828.0
2100.0,335431.59304925334,3141756.819129328,2445.3409,nan,2720.0,12.5m,0.1873485279747001,11808.0
2120.0,335444.91032723064,3141741.1076096087,2445.3409000000006,nan,2719.0,12.5m,0.0,11788.0
2140.0,335458.22760520794,3141725.3960898896,2445.3409,nan,2719.0,12.5m,0.08966019639785827,11768.0
