time_s,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,method,series_role
900,7628.3095703125,2850.4599609375,0.9627569913864136,1809.16845703125,0.4123690128326416,90.0,7263.56787109375,0.0,2.199585199356079,1772.0809326171875,0.0,60.0,10625.03515625,295.11669921875,2.272392511367798,1438.6539306640625,0.03636246174573898,60.0,FrozenGlobal,frozen_method
910,7559.9326171875,2812.2333984375,0.9579919576644897,1809.160888671875,0.4105195999145508,90.0,7262.6474609375,0.0,2.197206974029541,1772.0762939453125,0.0,60.0,10836.7041015625,319.01251220703125,2.2722015380859375,1438.650390625,0.038331352174282074,60.0,FrozenGlobal,frozen_method
920,7496.32763671875,2775.865234375,0.9532890319824219,1809.1531982421875,0.40862932801246643,90.0,7260.4140625,0.0,2.194946527481079,1772.07177734375,0.0,60.0,11047.7421875,343.59405517578125,2.272106170654297,1438.64697265625,0.04029835760593414,60.0,FrozenGlobal,frozen_method
930,7437.2099609375,2741.169921875,0.9485296607017517,1809.1456298828125,0.40668943524360657,90.0,7259.2509765625,0.0,2.1927192211151123,1772.0673828125,0.0,60.0,11256.267578125,369.22027587890625,2.27213454246521,1438.6436767578125,0.04229975491762161,60.0,FrozenGlobal,frozen_method
940,7381.8994140625,2707.22802734375,0.9438537955284119,1809.1380615234375,0.4046434462070465,90.0,7256.47509765625,0.0,2.1905019283294678,1772.062744140625,0.0,60.0,11462.064453125,395.7131652832031,2.2722010612487793,1438.640380859375,0.04431121051311493,60.0,FrozenGlobal,frozen_method
950,7326.99658203125,2672.426025390625,0.9391310214996338,1809.1304931640625,0.40246695280075073,90.0,7254.595703125,0.0,2.188291549682617,1772.058349609375,0.0,60.0,11666.8203125,422.8968505859375,2.2723684310913086,1438.6373291015625,0.046317148953676224,60.0,FrozenGlobal,frozen_method
960,7273.58056640625,2637.772705078125,0.9343631267547607,1809.122802734375,0.40020421147346497,90.0,7253.3994140625,0.0,2.1860759258270264,1772.0537109375,0.0,60.0,11867.6484375,450.64141845703125,2.272597312927246,1438.6341552734375,0.048319749534130096,60.0,FrozenGlobal,frozen_method
970,7224.41357421875,2604.728515625,0.929606020450592,1809.115234375,0.3978760242462158,90.0,7251.8017578125,0.0,2.183887481689453,1772.0489501953125,0.0,60.0,12066.400390625,479.16070556640625,2.2729218006134033,1438.6312255859375,0.050331830978393555,60.0,FrozenGlobal,frozen_method
980,7178.8046875,2572.612060546875,0.9247819185256958,1809.1075439453125,0.3954501748085022,90.0,7248.09375,0.0,2.1816670894622803,1772.0443115234375,0.0,60.0,12264.841796875,508.5284423828125,2.273286819458008,1438.6282958984375,0.05235397070646286,60.0,FrozenGlobal,frozen_method
990,7134.7197265625,2540.544677734375,0.9200369119644165,1809.099853515625,0.3929351568222046,90.0,7244.58740234375,0.0,2.179452896118164,1772.0396728515625,0.0,60.0,12462.337890625,538.8881225585938,2.273715019226074,1438.6253662109375,0.05439875274896622,60.0,FrozenGlobal,frozen_method
1000,7094.259765625,2509.38720703125,0.9153730869293213,1809.09228515625,0.3903389871120453,90.0,7240.763671875,0.0,2.177320957183838,1772.03515625,0.0,60.0,12656.720703125,569.7130126953125,2.2742393016815186,1438.6226806640625,0.05643016844987869,60.0,FrozenGlobal,frozen_method
1010,7054.64306640625,2478.332275390625,0.9106470942497253,1809.0845947265625,0.38768768310546875,90.0,7237.2822265625,0.0,2.1751890182495117,1772.030517578125,0.0,60.0,12847.23828125,601.0708618164062,2.274826765060425,1438.6199951171875,0.05845705047249794,60.0,FrozenGlobal,frozen_method
1020,7017.99267578125,2448.1767578125,0.9059445858001709,1809.076904296875,0.3849523365497589,90.0,7235.9814453125,0.0,2.173020601272583,1772.0257568359375,0.0,60.0,13036.8359375,632.9408569335938,2.2755255699157715,1438.6173095703125,0.06047578155994415,60.0,FrozenGlobal,frozen_method
1030,6982.6064453125,2418.464599609375,0.9012389779090881,1809.0693359375,0.3821488618850708,90.0,7229.88671875,0.0,2.1708505153656006,1772.021240234375,0.0,60.0,13224.935546875,665.186767578125,2.2762269973754883,1438.61474609375,0.06247126683592796,60.0,FrozenGlobal,frozen_method
1040,6948.091796875,2388.54443359375,0.8964896202087402,1809.0615234375,0.37926357984542847,90.0,7223.71240234375,0.0,2.168689489364624,1772.0167236328125,0.0,60.0,13412.203125,697.8155517578125,2.2769827842712402,1438.612060546875,0.06444218754768372,60.0,FrozenGlobal,frozen_method
1050,6915.07275390625,2358.59033203125,0.8947073221206665,1809.0538330078125,0.37629562616348267,90.0,7216.23583984375,0.0,2.166557550430298,1772.0120849609375,0.0,60.0,13597.341796875,731.049072265625,2.277719020843506,1438.6094970703125,0.06641519069671631,60.0,FrozenGlobal,frozen_method
1060,6882.482421875,2328.462646484375,0.8942855000495911,1809.0462646484375,0.37326332926750183,90.0,7209.93359375,0.0,2.1644866466522217,1772.007568359375,0.0,60.0,13780.474609375,763.9620971679688,2.2784557342529297,1438.60693359375,0.06832458078861237,60.0,FrozenGlobal,frozen_method
1070,6849.92431640625,2298.10498046875,0.8937259316444397,1809.03857421875,0.37014198303222656,90.0,7202.48486328125,0.0,2.16237735748291,1772.0030517578125,0.0,60.0,13964.609375,796.5598754882812,2.279179334640503,1438.6043701171875,0.07015262544155121,60.0,FrozenGlobal,frozen_method
1080,6820.67138671875,2268.70068359375,0.893094539642334,1809.0306396484375,0.36699238419532776,90.0,7194.2255859375,0.0,2.1602563858032227,1771.9986572265625,0.0,60.0,14146.83203125,829.2244262695312,2.2799177169799805,1438.6019287109375,0.07195724546909332,60.0,FrozenGlobal,frozen_method
1090,6792.0048828125,2239.111572265625,0.8923642635345459,1809.0230712890625,0.3637837767601013,90.0,7187.80810546875,0.0,2.158190965652466,1771.994140625,0.0,60.0,14330.400390625,862.0438842773438,2.280642509460449,1438.5992431640625,0.07371718436479568,60.0,FrozenGlobal,frozen_method
1100,6763.5791015625,2208.895751953125,0.8915375471115112,1809.015380859375,0.3605126738548279,90.0,7182.3857421875,0.0,2.1560990810394287,1771.98974609375,0.0,60.0,14515.228515625,895.906494140625,2.2813360691070557,1438.5968017578125,0.07549764215946198,60.0,FrozenGlobal,frozen_method
1110,6737.3486328125,2179.26416015625,0.890647828578949,1809.0076904296875,0.3572155833244324,90.0,7177.23583984375,0.0,2.1540279388427734,1771.9852294921875,0.0,60.0,14699.41796875,929.8634033203125,2.282059669494629,1438.59423828125,0.07724672555923462,60.0,FrozenGlobal,frozen_method
1120,6711.46826171875,2149.49853515625,0.8896473050117493,1809.0001220703125,0.35386499762535095,90.0,7171.3779296875,0.0,2.151923656463623,1771.9808349609375,0.0,60.0,14882.958984375,963.3386840820312,2.282799005508423,1438.5916748046875,0.07892617583274841,60.0,FrozenGlobal,frozen_method
1130,6687.0107421875,2119.602783203125,0.8886145353317261,1808.992431640625,0.35043543577194214,90.0,7167.310546875,0.0,2.149815559387207,1771.976318359375,0.0,60.0,15062.58203125,997.393798828125,2.28348970413208,1438.589111328125,0.08061668276786804,60.0,FrozenGlobal,frozen_method
1140,6664.10302734375,2090.125732421875,0.8875020742416382,1808.98486328125,0.34696412086486816,90.0,7161.7958984375,0.0,2.1477036476135254,1771.9718017578125,0.0,60.0,15242.384765625,1031.35107421875,2.2841732501983643,1438.5865478515625,0.08226030319929123,60.0,FrozenGlobal,frozen_method
1150,6643.36376953125,2061.0048828125,0.886320948600769,1808.977294921875,0.34346604347229004,90.0,7156.576171875,0.0,2.1455206871032715,1771.96728515625,0.0,60.0,15419.33203125,1065.3038330078125,2.2848339080810547,1438.583984375,0.08388785272836685,60.0,FrozenGlobal,frozen_method
1160,6623.72900390625,2031.774658203125,0.8851250410079956,1808.9698486328125,0.339932382106781,90.0,7151.8349609375,0.0,2.1433491706848145,1771.9627685546875,0.0,60.0,15592.857421875,1099.53515625,2.285524845123291,1438.5814208984375,0.08551263809204102,60.0,FrozenGlobal,frozen_method
1170,6605.49951171875,2002.6551513671875,0.8838254809379578,1808.962158203125,0.33631783723831177,90.0,7145.9111328125,0.0,2.141233444213867,1771.9583740234375,0.0,60.0,15762.3701171875,1134.54248046875,2.28620982170105,1438.578857421875,0.0871683806180954,60.0,FrozenGlobal,frozen_method
1180,6589.4306640625,1973.587890625,0.8824807405471802,1808.9547119140625,0.33263102173805237,90.0,7140.5419921875,0.0,2.1390223503112793,1771.953857421875,0.0,60.0,15928.4453125,1169.206298828125,2.2868852615356445,1438.5762939453125,0.08879262953996658,60.0,FrozenGlobal,frozen_method
1190,6575.72314453125,1944.659423828125,0.8811410665512085,1808.947021484375,0.3289044201374054,90.0,7134.564453125,0.0,2.136800527572632,1771.9493408203125,0.0,60.0,16093.677734375,1204.4337158203125,2.287566661834717,1438.57373046875,0.09042255580425262,60.0,FrozenGlobal,frozen_method
