case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,16530.178394522314,0.8387774699188894,68.4056238028103,39.41586464943432,28.2901556141984,24205327.228578266,16610423.264380332,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,16770.178394522423,0.850955595767025,65.1052662829808,31.248273209944067,25.014399597045657,24312788.4465287,16896875.873336412,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,17208.954505154194,0.8732200569938031,64.27944670623829,29.802334782943195,23.268029810452315,24359834.31769062,17050298.09609297,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,17388.954505154434,0.8823536513799128,65.83537234301211,29.256882238315185,22.56330815976958,24407166.54642775,16936726.387057744,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,17568.954505154372,0.8914872457660072,69.80580086651987,29.002441840502165,21.30745071492801,24447056.319668025,16905192.219135623,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,17988.95450515425,0.9127989660002286,71.91326918302035,30.606674239614588,20.500152181716903,24496258.00952229,16785339.725559823,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,18128.95450515445,0.9199028727449813,73.262476460488,29.698150887439503,20.015036872122067,24535151.80275614,16800065.606414378,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,2768.28905749058,0.14046905219217362,43.31311632428023,50.47495080049238,50.377349796006825,11047323.051354248,1062191.6932805097,False,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,6564.004030557351,0.33307194646566857,56.73214576786695,50.35712109116289,50.17052527947058,14726644.23399534,4842379.961837674,False,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,11956.769096385957,0.6067126616367527,50.56896047730957,51.33678659159499,50.351947541159326,20552084.953767307,11484042.272213891,False,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,15313.422714979826,0.7770366207859917,86.02116265437841,42.04535671332988,38.008170570205216,23595588.60865979,15702747.74674688,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,16031.700040707938,0.8134835860633886,73.05135969133329,42.18970416688715,34.08157813972962,24038531.269318193,16375819.167285195,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,16530.178394522314,0.8387774699188894,68.59777796072177,39.31804535554676,28.681748318447593,24191889.131989542,16601962.63747573,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,16770.178394522423,0.850955595767025,65.22005832960838,31.226373278089035,25.440823852323568,24308725.8295535,16951903.304520566,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,17308.954505154354,0.8782942760971988,64.646534352554,30.00338738171794,23.271508868960993,24354078.705002025,17050284.937238507,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,17388.954505154434,0.8823536513799128,66.05265242210028,29.262554049944114,22.780558852561633,24396213.02108886,17050224.279289432,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,17568.954505154372,0.8914872457660072,70.21933314928445,29.100018099300904,20.971505504778904,24431258.898750354,17012892.40382419,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,17988.95450515425,0.9127989660002286,72.0393077224335,30.631134371081576,20.039178563107704,24480151.289287493,16907287.607933205,True,False
RECON_C_phi34,10000000.0,8.0,0.4,34.0,0.025,18128.95450515445,0.9199028727449813,73.36455326072873,29.71196991852745,20.11112731079276,24520214.04037584,16873425.82013848,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,2768.28905749058,0.14046905219217362,43.2659740498117,50.508977319377685,50.405417572733626,11048780.550191972,1063627.533702008,False,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,6564.004030557351,0.33307194646566857,56.79883151590057,50.35755590867372,50.16295144625798,14738499.926732857,4856293.226040015,False,False
