chainage_m,route_z30,route_z32,route_z64
15680.0,2069.5806,2069.0693,2064.702148
15690.0,2062.5076,2062.2812,2064.702148
15700.0,2062.5076,2062.2812,2064.702148
15710.0,2062.5076,2062.2812,2064.702148
15720.0,2070.3735,2070.1826,2088.19165
15730.0,2061.378,2061.5112,2065.362061
15740.0,2061.378,2061.5112,2065.362061
15750.0,2061.378,2061.5112,2065.362061
15760.0,2067.427,2066.574,2065.362061
15770.0,2067.427,2066.574,2065.362061
15780.0,2059.234,2059.2534,2065.362061
15790.0,2059.234,2059.2534,2065.362061
15800.0,2063.4,2062.6248,2083.328125
15810.0,2063.4,2062.6248,2083.328125
15820.0,2050.818,2062.6248,2083.328125
15830.0,2050.818,2049.773,2048.255371
15840.0,2054.391,2053.5054,2048.255371
15850.0,2054.391,2053.5054,2048.255371
15860.0,2054.391,2053.5054,2048.255371
15870.0,2039.1991,2053.5054,2048.255371
15880.0,2047.6349,2038.5756,2048.255371
15890.0,2047.6349,2048.52,2075.023438
15900.0,2047.6349,2048.52,2075.023438
15910.0,2035.1844,2048.52,2075.023438
15920.0,2050.069,2048.52,2075.023438
15930.0,2050.069,2051.5303,2041.146973
15940.0,2050.069,2051.5303,2041.146973
15950.0,2050.069,2051.5303,2041.146973
15960.0,2052.5457,2051.5303,2041.146973
15970.0,2052.5457,2056.9717,2084.071777
15980.0,2052.5457,2056.9717,2084.071777
15990.0,2052.5457,2056.9717,2084.071777
16000.0,2041.4666,2056.9717,2084.071777
16010.0,2041.4666,2049.202,2062.677979
16020.0,2041.4666,2049.202,2062.677979
16030.0,2042.7583,2049.202,2062.677979
16040.0,2042.7583,2049.8352,2062.677979
16050.0,2042.7583,2049.8352,2062.677979
16060.0,2043.7657,2049.8352,2062.677979
16070.0,2043.7657,2049.3171,2058.157471
16080.0,2043.7657,2049.3171,2058.157471
16090.0,2043.7118,2049.3171,2058.157471
16100.0,2043.7118,2050.3467,2058.157471
16110.0,2043.7118,2050.3467,2058.157471
16120.0,2048.1733,2050.3467,2058.157471
16130.0,2048.1733,2050.3467,2058.157471
16140.0,2048.1733,2050.0068,2050.136719
16150.0,2048.3066,2050.0068,2050.136719
16160.0,2048.3066,2050.0068,2050.136719
16170.0,2048.3066,2044.4885,2050.136719
16180.0,2040.1945,2044.4885,2050.136719
16190.0,2040.1945,2045.9309,2050.136719
16200.0,2040.1945,2045.9309,2050.136719
