chainage_m,x,y,z30,z32,z64
14560.0,344330.485344,3132702.190600245,2172.058,2170.0981,2174.341797
14570.0,344330.485344,3132692.190600245,2171.8557,2160.9434,2171.33374
14580.0,344330.485344,3132682.190600245,2171.8557,2160.9434,2171.33374
14590.0,344330.485344,3132672.190600245,2171.8557,2160.9434,2171.33374
14600.0,344330.485344,3132662.190600245,2173.647,2158.3862,2171.33374
14610.0,344330.485344,3132652.190600245,2173.647,2158.3862,2171.33374
14620.0,344330.485344,3132642.190600245,2173.647,2158.3862,2171.33374
14630.0,344330.485344,3132632.190600245,2173.7869,2158.4497,2164.546631
14640.0,344330.485344,3132622.190600245,2173.7869,2158.4497,2164.546631
14650.0,344330.485344,3132612.190600245,2173.7869,2158.4497,2164.546631
14660.0,344330.485344,3132602.190600245,2165.1123,2152.2666,2164.546631
14670.0,344330.485344,3132592.190600245,2165.1123,2152.2666,2164.546631
14680.0,344330.485344,3132582.190600245,2165.1123,2152.2666,2164.546631
14690.0,344330.485344,3132572.190600245,2149.9734,2152.2666,2164.546631
14700.0,344330.485344,3132562.190600245,2149.9734,2141.7285,2145.091797
14710.0,344330.485344,3132552.190600245,2149.9734,2141.7285,2145.091797
14720.0,344330.1329233863,3132542.200658582,2140.8906,2141.7285,2145.091797
14730.0,344329.5625736072,3132532.216936775,2140.8906,2134.8323,2145.091797
14740.0,344324.9585849044,3132523.9188725385,2140.8906,2134.8323,2145.091797
14750.0,344318.25555437454,3132516.497997811,2128.2212,2134.8323,2145.091797
14760.0,344311.5525238447,3132509.077123084,2128.2212,2134.8323,2145.091797
14770.0,344304.84949331486,3132501.656248357,2128.2212,2132.3599,2141.85498
14780.0,344298.14646278496,3132494.2353736297,2128.2212,2128.8535,2131.259033
14790.0,344291.443432255,3132486.8144989028,2125.9197,2128.8535,2131.259033
14800.0,344284.7404017251,3132479.393624176,2125.9197,2128.8535,2131.259033
14810.0,344278.03737119527,3132471.9727494484,2125.9197,2122.691,2131.259033
14820.0,344271.33434066543,3132464.5518747214,2125.9197,2122.691,2131.259033
14830.0,344264.6313101356,3132457.1309999945,2116.6133,2129.4229,2131.259033
14840.0,344257.9282796057,3132449.710125267,2123.8809,2129.4229,2131.259033
14850.0,344251.22524907574,3132442.28925054,2123.8809,2114.612,2113.306641
14860.0,344244.5222185459,3132434.868375813,2123.8809,2114.612,2113.306641
14870.0,344237.81918801606,3132427.4475010857,2108.9941,2125.4878,2126.209961
14880.0,344231.1161574862,3132420.0266263587,2119.8696,2125.4878,2126.209961
14890.0,344224.4131269564,3132412.605751632,2119.8696,2125.4878,2126.209961
14900.0,344217.71009642654,3132405.1848769044,2119.8696,2109.5388,2126.209961
14910.0,344211.0070658967,3132397.7640021774,2105.6443,2109.5388,2126.209961
14920.0,344204.30403536675,3132390.34312745,2105.6443,2123.5564,2126.209961
14930.0,344197.6010048368,3132382.922252723,2118.7168,2123.5564,2126.209961
14940.0,344190.89797430695,3132375.501377996,2118.7168,2107.687,2112.129883
14950.0,344184.1949437771,3132368.0805032686,2103.7275,2107.687,2112.129883
14960.0,344177.4919132473,3132360.6596285417,2103.7275,2107.687,2112.129883
14970.0,344170.78888271743,3132353.2387538147,2109.1785,2116.666,2116.3396
14980.0,344164.08585218753,3132345.8178790873,2109.1785,2097.1108,2116.3396
14990.0,344157.3828216576,3132338.3970043603,2092.3293,2097.1108,2116.3396
15000.0,344150.6797911277,3132330.9761296334,2092.3293,2097.1108,2116.3396
15010.0,344143.9767605979,3132323.555254906,2092.3293,2097.1108,2116.3396
15020.0,344137.27373006806,3132316.134380179,2101.2666,2108.8333,2116.3396
15030.0,344130.5706995382,3132308.713505452,2092.6912,2095.262,2104.97583
15040.0,344123.86766900826,3132301.2926307246,2092.6912,2095.262,2104.97583
15050.0,344117.16463847837,3132293.8717559977,2092.6912,2095.262,2104.97583
15060.0,344110.46160794847,3132286.4508812707,2106.4868,2095.262,2104.97583
15070.0,344103.75857741863,3132279.0300065433,2104.5854,2106.0205,2119.081055
15080.0,344097.0555468888,3132271.6091318163,2104.5854,2106.0205,2119.081055
15090.0,344090.35251635895,3132264.188257089,2104.5854,2106.0205,2119.081055
15100.0,344083.6494858291,3132256.767382362,2104.5854,2106.0205,2119.081055
15110.0,344076.9464552993,3132249.346507635,2107.2725,2107.019,2113.283203
15120.0,344070.2434247694,3132241.9256329075,2107.2725,2107.019,2113.283203
15130.0,344063.5403942394,3132234.5047581806,2107.2725,2107.019,2113.283203
15140.0,344056.8373637096,3132227.0838834536,2107.2725,2107.019,2113.283203
15150.0,344050.13433317974,3132219.663008726,2099.136,2108.0024,2113.283203
15160.0,344043.4313026499,3132212.2421339992,2099.136,2099.7776,2112.334229
15170.0,344036.72827212,3132204.8212592723,2099.136,2099.7776,2112.334229
15180.0,344030.0252415901,3132197.400384545,2099.136,2099.7776,2112.334229
15190.0,344023.32221106015,3132189.979509818,2099.1829,2099.7776,2112.334229
15200.0,344016.6191805303,3132182.558635091,2096.167,2098.5374,2098.58667
15210.0,344009.91615000047,3132175.1377603635,2096.167,2098.62,2098.58667
15220.0,344003.21311947063,3132167.7168856366,2096.167,2098.62,2098.58667
15230.0,343996.5100889408,3132160.2960109096,2096.167,2098.62,2098.58667
15240.0,343989.8070584109,3132152.875136182,2093.7603,2092.009,2098.58667
15250.0,343983.10402788094,3132145.454261455,2093.7603,2092.009,2098.58667
15260.0,343976.40099735104,3132138.0333867283,2093.7603,2095.0237,2110.219971
15270.0,343969.6979668212,3132130.612512001,2093.7603,2095.0237,2110.219971
15280.0,343962.99493629136,3132123.191637274,2084.5605,2083.6025,2083.397461
15290.0,343956.2919057615,3132115.770762547,2086.077,2083.6025,2083.397461
15300.0,343949.58887523174,3132108.3498878195,2086.077,2087.2812,2083.397461
15310.0,343942.8858447019,3132100.9290130925,2086.077,2087.2812,2083.397461
15320.0,343936.18281417195,3132093.508138365,2074.8662,2087.2812,2083.397461
15330.0,343929.47978364205,3132086.087263638,2081.0117,2076.925,2083.397461
15340.0,343922.77675311215,3132078.666388911,2081.0117,2076.925,2083.397461
15350.0,343916.0737225823,3132071.245514184,2081.0117,2085.482,2099.407471
15360.0,343909.3706920525,3132063.824639457,2075.6182,2085.482,2099.407471
15370.0,343902.66766152263,3132056.40376473,2075.6182,2079.6902,2083.313232
15380.0,343895.96463099273,3132048.9828900024,2083.6375,2079.6902,2083.313232
15390.0,343889.2616004628,3132041.5620152755,2083.6375,2079.6902,2083.313232
15400.0,343882.5585699329,3132034.1411405485,2079.0054,2084.0425,2083.313232
15410.0,343875.8555394031,3132026.720265821,2079.0054,2080.5967,2083.313232
15420.0,343869.15250887326,3132019.299391094,2079.0488,2080.5967,2083.313232
15430.0,343862.4494783434,3132011.878516367,2079.0488,2080.5967,2083.313232
15440.0,343855.74644781346,3132004.4576416397,2078.3584,2080.5967,2083.313232
15450.0,343849.0434172835,3131997.036766913,2078.3584,2079.0862,2090.248535
15460.0,343842.3403867536,3131989.615892186,2078.3584,2077.602,2077.679199
15470.0,343835.63735622383,3131982.1950174584,2073.5764,2077.602,2077.679199
15480.0,343828.934325694,3131974.7741427314,2073.8594,2077.602,2077.679199
15490.0,343822.23129516415,3131967.3532680045,2073.8594,2077.602,2077.679199
15500.0,343815.5282646342,3131959.932393277,2073.8594,2071.2722,2077.679199
