chainage_m,corridor_x,corridor_y,robust_offset_m,robust_low_x,robust_low_y,robust_floor_z
1200.0,334871.985,3142520.02,-190.0,334719.3744958911,3142406.8385791057,2749.554
1250.0,334901.553,3142479.7,-190.0,334748.3369568619,3142367.339668365,2757.974
1300.0,334931.122,3142439.38,-190.0,334777.9605815246,3142326.945219391,2767.417
1350.0,334960.729,3142399.089,-190.0,334809.9605549952,3142283.4651443698,2762.16
1400.0,334991.963,3142360.046,-190.0,334843.5973701085,3142241.35463609,2764.477
1450.0,335023.198,3142321.002,-190.0,334874.8332969366,3142202.3094775523,2761.777
1500.0,335054.433,3142281.959,-190.0,334907.26548537635,3142161.785281411,2753.116
1550.0,335086.415,3142243.585,-190.0,334946.1210480696,3142115.4537897045,2754.14
1600.0,335121.771,3142208.229,-190.0,334987.4207115743,3142073.8787115747,2757.561
1650.0,335157.126,3142172.874,-190.0,335022.7757115746,3142038.5237115743,2753.361
1700.0,335192.481,3142137.519,-190.0,335058.130711575,3142003.168711574,2748.033
1750.0,335227.837,3142102.163,-190.0,335103.2955572935,3141958.6728294357,2733.482
1800.0,335267.79,3142072.155,-190.0,335154.3826470908,3141919.7123146844,2733.591
1850.0,335308.043,3142042.495,-190.0,335195.3345346541,3141889.534868465,2739.293
1900.0,335348.295,3142012.835,-190.0,335235.5865346536,3141859.8748684647,2739.431
1950.0,335388.548,3141983.175,-190.0,335274.3157835927,3141831.3494397844,2736.449
2000.0,335428.171,3141952.737,-190.0,335307.1035227368,3141806.3038550187,2733.406
2050.0,335465.541,3141919.519,-190.0,335339.3123423479,3141777.5108101396,2730.425
2100.0,335502.912,3141886.301,-190.0,335376.6833423486,3141744.2928101392,2729.491
2150.0,335540.282,3141853.083,-190.0,335414.0522809711,3141711.075753587,2725.312
2200.0,335577.653,3141819.864,-190.0,335447.75976249186,3141681.199848722,2719.093
2250.0,335613.164,3141784.811,-190.0,335474.5256982771,3141654.8901729733,2713.809
2300.0,335645.911,3141747.026,-190.0,335502.3299488892,3141622.589342371,2714.803
2350.0,335678.657,3141709.242,-190.0,335535.0759488892,3141584.805342371,2714.859
2400.0,335711.404,3141671.457,-190.0,335565.65956477134,3141549.561308526,2713.836
2450.0,335742.777,3141632.577,-190.0,335592.194912006,3141516.7105476707,2708.163
2500.0,335772.345,3141592.257,-190.0,335619.1273863406,3141479.8988099806,2695.222
2550.0,335801.913,3141551.936,-160.0,335672.8876411288,3141457.318576826,2693.793
2600.0,335831.481,3141511.616,-130.0,335727.80942798767,3141433.180005989,2702.472
2650.0,335862.236,3141472.205,-100.0,335783.77294584434,3141410.2086361344,2702.306
2700.0,335893.471,3141433.161,-100.0,335815.3843141772,3141370.691251343,2694.921
2750.0,335924.706,3141394.118,-130.0,335823.1931816033,3141312.9074852793,2690.854
2800.0,335955.94,3141355.075,-130.0,335852.3391761063,3141276.545583292,2695.833
2850.0,335985.086,3141314.461,-190.0,335830.2909492198,3141204.286174137,2700.245
2900.0,336013.921,3141273.612,-190.0,335858.69757988123,3141164.041521099,2697.889
2950.0,336042.755,3141232.764,-190.0,335887.5313166053,3141123.1938940706,2716.701
3000.0,336071.589,3141191.916,-190.0,335914.2203923813,3141085.449473166,2755.094
3050.0,336098.77,3141149.968,-190.0,335938.4786212251,3141047.954893536,2764.588
3100.0,336125.27,3141107.568,-190.0,335964.15032223915,3141006.868201399,2772.853
3150.0,336151.77,3141065.168,-190.0,335990.6508559525,3140964.467347463,2781.587
3200.0,336178.27,3141022.769,-190.0,336028.70463809033,3140905.5930531644,2786.09
3250.0,336213.047,3140986.953,-190.0,336077.7124932987,3140853.5941934073,2791.752
3300.0,336248.402,3140951.598,-100.0,336177.69132188096,3140880.887321882,2804.945
3350.0,336283.757,3140916.243,-190.0,336149.4067115743,3140781.8927115747,2814.157
3400.0,336319.113,3140880.887,-190.0,336181.411105198,3140749.9740970153,2820.309
3450.0,336352.617,3140843.812,-190.0,336210.2249332071,3140718.016533808,2820.352
3500.0,336385.298,3140805.97,-190.0,336241.5010731441,3140681.7828677087,2823.804
3550.0,336417.979,3140768.129,-190.0,336274.1828848561,3140643.940927829,2828.62
3600.0,336450.66,3140730.288,-190.0,336306.8638848559,3140606.0999278296,2831.044
3650.0,336483.341,3140692.447,-100.0,336407.65883413475,3140627.0848567523,2809.867
3700.0,336516.022,3140654.606,-100.0,336441.6760254153,3140587.7279313747,2771.699
3750.0,336550.202,3140618.12,-130.0,336455.57841568644,3140528.977544954,2723.234
3800.0,336584.589,3140581.823,-160.0,336468.43640239886,3140471.7840338536,2699.011
3850.0,336618.976,3140545.525,-160.0,336502.8234444449,3140435.485989472,2672.261
3900.0,336653.364,3140509.227,-160.0,336537.2122012331,3140399.1871906435,2643.602
3950.0,336687.751,3140472.93,-160.0,336574.6803882512,3140359.7264808025,2597.659
4000.0,336724.059,3140438.615,-190.0,336595.6756248347,3140298.5517679183,2542.173
4050.0,336761.429,3140405.396,-160.0,336655.129494755,3140285.8116566073,2514.712
4100.0,336798.799,3140372.178,-130.0,336712.4320237117,3140275.0145016746,2499.063
4150.0,336836.17,3140338.96,-130.0,336749.80302371195,3140241.796501674,2491.731
4200.0,336873.54,3140305.742,-100.0,336801.64209900144,3140236.2388214255,2477.771
4250.0,336905.391,3140267.354,-100.0,336827.43323588994,3140204.723440247,2484.948
