i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
104,2,338574.000000,3127612.000000,2838.98389,18000.000000,2397.877147,1872.970000,966.013890,0
105,2,338638.000000,3127612.000000,2850.35889,18000.000000,2384.044275,1872.970000,977.388890,0
106,2,338702.000000,3127612.000000,2844.58228,18000.000000,2371.858215,1872.970000,971.612280,0
107,2,338766.000000,3127612.000000,2824.23438,18000.000000,2361.344465,1872.970000,951.264380,0
108,2,338830.000000,3127612.000000,2800.68091,18250.000000,2351.093646,1859.457000,941.223910,0
109,2,338894.000000,3127612.000000,2783.72778,18250.000000,2337.291659,1859.457000,924.270780,0
110,2,338958.000000,3127612.000000,2758.5957,18250.000000,2325.169944,1859.457000,899.138700,0
111,2,339022.000000,3127612.000000,2728.59155,18250.000000,2314.754898,1859.457000,869.134550,0
112,2,339086.000000,3127612.000000,2697.95093,18250.000000,2306.069645,1859.457000,838.493930,0
113,2,339150.000000,3127612.000000,2645.90161,18250.000000,2299.133788,1859.457000,786.444610,0
114,2,339214.000000,3127612.000000,2572.57202,18250.000000,2293.963196,1859.457000,713.115020,0
115,2,339278.000000,3127612.000000,2502.98633,18250.000000,2290.569823,1859.457000,643.529330,0
