time_s,wet_volume_m3,moving_volume_gt_05_m3,moving_volume_gt_2_m3,com_x_m,com_y_m,com_elevation_m,mean_speed_moving_ms,p90_speed_ms,p99_speed_ms,max_depth_m,wet_area_m2,area_h_gt_1_m2,area_h_gt_3_m2,potential_energy_proxy,kinetic_energy_proxy,river_front_m,d8_front_m,wet_median_river_offset_m,wet_median_d8_offset_m,wet_fraction_river_gt_400
380.0,940357.0128874846,338798.50667668984,209828.42991109675,334666.04959591577,3142347.648701306,2702.781075953449,3.7296130524882676,4.627089376670217,9.492033336265237,12.94478210748652,606208.0,176128.0,98304.0,52219961508857.07,5181699132.783506,2261.329566340134,2932.467529817256,280.5679713181332,147.88225099390854,0.1891891891891892
390.0,940325.4079887783,320463.348292749,192714.7639565186,334669.0614235564,3142341.804405128,2702.532090351288,3.6764146725105027,4.439492981877148,10.578770182156482,13.14192204808036,606208.0,172032.0,106496.0,52215557356391.016,4699183745.657049,2261.329566340134,2932.467529817256,280.5679713181332,147.88225099390854,0.1891891891891892
400.0,940290.3865713831,337719.84017692116,215680.3242566459,334671.3051452038,3142337.0434640395,2702.217611222684,3.477928204199803,4.668583702030572,9.309663048360017,13.20457466526223,598016.0,180224.0,98304.0,52207439739742.93,4538185739.35462,2261.329566340134,2932.467529817256,280.5679713181332,161.58431221748455,0.1917808219178082
410.0,940260.5511634161,318718.8231789799,173119.44965339644,334674.2188982798,3142331.590149902,2701.969499194558,3.517235042962297,4.365345561221223,10.525309235386583,13.13570072425486,593920.0,172032.0,106496.0,52201873092966.03,4227889259.8017945,2261.329566340134,2932.467529817256,282.78444057795383,160.0,0.19310344827586207
420.0,940231.3142517379,312384.56448457774,188638.94797091774,334676.51854048646,3142326.735572835,2701.671916984548,3.4075383644905863,4.112236001454118,9.140447092724166,13.07054868806637,593920.0,180224.0,102400.0,52196425789491.19,4061450065.8482046,2261.329566340134,2932.467529817256,282.78444057795383,160.0,0.19310344827586207
430.0,940203.01914959,292473.0997819745,165942.55211505195,334679.390177382,3142321.9325190308,2701.4554070382114,3.431070878724127,4.137928697607936,10.48972910515943,13.30945262290545,593920.0,172032.0,106496.0,52192518202524.625,3888497109.361681,2261.329566340134,2932.467529817256,282.78444057795383,160.0,0.19310344827586207
440.0,940171.6183801921,297475.15272279235,160141.61173212284,334681.15116641764,3142317.178876936,2701.185101337618,3.344554679272531,4.030871477042868,8.980720142337086,13.21428483565913,593920.0,172032.0,102400.0,52187497773651.63,3309511207.773793,2261.329566340134,2932.467529817256,282.78444057795383,160.0,0.19310344827586207
450.0,940145.5375722465,276332.5873722555,162650.89363788304,334682.97098801594,3142313.1320557916,2700.942054972111,3.4302194131513657,4.036865080732332,10.322565547270468,13.04489265758254,593920.0,176128.0,110592.0,52183114546850.15,3559952673.299687,2261.329566340134,2932.467529817256,282.78444057795383,160.0,0.19310344827586207
460.0,940116.3255979372,287945.06958276674,159984.98035621556,334685.15940967784,3142309.080904534,2700.7451130237546,3.3310913720372533,3.7870202761447493,9.10199821398866,13.38482819996752,589824.0,172032.0,110592.0,52178665107688.3,3102402251.4620852,2261.329566340134,2932.467529817256,284.5319308606637,147.88225099390854,0.19444444444444445
470.0,940088.1919627145,271305.953065173,158693.05517358804,334687.2461322852,3142305.1476090616,2700.5266613861318,3.469307291356428,4.005185867182067,10.19993696334502,13.22632315228315,585728.0,167936.0,114688.0,52173923109010.48,3326708633.152592,2261.329566340134,2932.467529817256,286.2794211433736,160.0,0.1958041958041958
