s_m,x,y,elevation_m,slope_local,slope_100m,slope_250m,slope_500m,valley_width_m,cross_valley_relief_m,river_vector_offset_m,bend_angle_deg
4096.0,335527.5223638132,3140582.7776361867,2733.182344671328,-0.029987281022755496,-0.03668834241042077,-0.06554551051533417,-0.025414509204987553,544.0,320.30174374516673,694.3953172424959,0.0
4128.0,335550.14978081116,3140560.150219189,2731.802076678495,-0.036797240747276305,-0.028918783149397314,-0.016334712090254472,-0.03175839925650689,544.0,310.72181662788853,693.2657568335395,0.0
4160.0,335572.77719780913,3140537.522802191,2730.827321263502,-0.021722596033249886,-0.023566260535162656,0.015593620952668062,-0.01799243098410898,544.0,298.6001921281336,692.1361964249006,0.0
4192.0,335595.4046148071,3140514.8953851927,2730.411830532367,-0.011769241602316072,0.02607954390387022,0.012669366355672536,0.0016297286451335822,544.0,284.9698379899878,691.0066360162615,0.0
4224.0,335618.0320318051,3140492.267968195,2730.074089800954,0.10331962812357887,0.07949637931303187,0.01506898018413085,0.018092522745237146,544.0,274.1814314805006,689.8770756073051,0.0
4256.0,335640.65944880305,3140469.640551197,2737.024286732276,0.15223280670906547,0.07703942629791072,0.02185474600401358,0.030897181670542524,512.0,263.68012533935416,688.7475151986663,0.0
4288.0,335663.286865801,3140447.013134199,2739.816989430334,-0.007724515847549185,0.03595285509625683,0.053679673216011,0.03536949273026039,512.0,224.84892100516117,687.6179547897099,0.20492483552090016
4320.0,335685.96162028424,3140424.5,2736.5299177180327,-0.04635580800471217,-0.011946723569340066,0.08614871036169097,0.03225191165931119,544.0,188.32094745689255,686.3758537573284,44.795075164111694
4352.0,335717.96162028424,3140424.5,2736.8502177180326,0.010593689936378325,0.03174077692758601,0.09802251202808657,0.024848286155007372,576.0,179.72672805266257,662.9638182393103,0.0
4384.0,335749.96162028424,3140424.5,2737.207913873961,0.12628509618637906,0.12597858319537408,0.07253989329257456,0.018344121656969945,576.0,167.5852454714277,639.551782721292,0.0
4416.0,335781.96162028424,3140424.5,2744.932463873961,0.24112507746136203,0.17241651765870755,0.05348138338655554,0.01382200082529198,608.0,152.01837189855132,616.139747203274,0.20492483614516507
