case,time_s,source_connected_max_chainage_unrestricted,max_chainage_256m,max_lateral_distance_m,source_connected_volume
C4,660,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,690,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,720,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,750,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,780,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,810,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,840,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,870,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,900,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,30,509.4597396598304,509.4597396598304,256.6147115562749,
C5,60,875.1598858206247,875.1598858206247,302.64170234784234,
C5,90,1050.6902256499422,1050.6902256499422,302.64170234784234,
C5,120,1110.6609502151668,1110.6609502151668,302.64170234784234,
C5,150,1283.7837360643173,1180.563896594787,325.68009765959096,
C5,180,1410.6785487712325,1270.0210908017134,415.1372918665172,
C5,210,1460.654152575586,1270.0210908017134,415.1372918665172,
C5,240,1500.6346356190693,1270.0210908017134,415.1372918665172,
C5,270,1540.9274661863296,1270.0210908017134,418.8580293852415,
C5,300,1600.3244358059997,1270.0210908017134,418.8580293852415,
C5,330,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,360,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,390,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,420,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,450,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,480,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,510,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,540,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,570,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,600,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,630,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,660,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,690,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,720,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,750,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,780,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,810,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,840,1600.3244358059997,1270.0210908017134,428.8531501461122,
