case,time_s,cell_id,h,speed,terrain_z
C3,390,1,69.96686096370287,0.0,2773.6123046875
C3,390,2,55.51901429423366,0.0,2783.94091796875
C3,390,3,25.59817954317832,0.0,2807.7353515625
C3,420,1,69.96686096370287,0.0,2773.6123046875
C3,420,2,55.51901429423366,0.0,2783.94091796875
C3,420,3,25.59817954317832,0.0,2807.7353515625
C3,450,1,69.96686096370287,0.0,2773.6123046875
C3,450,2,55.51901429423366,0.0,2783.94091796875
C3,450,3,25.59817954317832,0.0,2807.7353515625
C3,480,1,69.96686096370287,0.0,2773.6123046875
C3,480,2,55.51901429423366,0.0,2783.94091796875
C3,480,3,25.59817954317832,0.0,2807.7353515625
C3,510,1,69.96686096370287,0.0,2773.6123046875
C3,510,2,55.51901429423366,0.0,2783.94091796875
C3,510,3,25.59817954317832,0.0,2807.7353515625
C3,540,1,69.96686096370287,0.0,2773.6123046875
C3,540,2,55.51901429423366,0.0,2783.94091796875
C3,540,3,25.59817954317832,0.0,2807.7353515625
C3,570,1,69.96686096370287,0.0,2773.6123046875
C3,570,2,55.51901429423366,0.0,2783.94091796875
C3,570,3,25.59817954317832,0.0,2807.7353515625
C3,600,1,69.96686096370287,0.0,2773.6123046875
C3,600,2,55.51901429423366,0.0,2783.94091796875
C3,600,3,25.59817954317832,0.0,2807.7353515625
C3,630,1,69.96686096370287,0.0,2773.6123046875
C3,630,2,55.51901429423366,0.0,2783.94091796875
C3,630,3,25.59817954317832,0.0,2807.7353515625
C3,660,1,69.96686096370287,0.0,2773.6123046875
C3,660,2,55.51901429423366,0.0,2783.94091796875
C3,660,3,25.59817954317832,0.0,2807.7353515625
C3,690,1,69.96686096370287,0.0,2773.6123046875
C3,690,2,55.51901429423366,0.0,2783.94091796875
C3,690,3,25.59817954317832,0.0,2807.7353515625
C3,720,1,69.96686096370287,0.0,2773.6123046875
C3,720,2,55.51901429423366,0.0,2783.94091796875
C3,720,3,25.59817954317832,0.0,2807.7353515625
C3,750,1,69.96686096370287,0.0,2773.6123046875
C3,750,2,55.51901429423366,0.0,2783.94091796875
C3,750,3,25.59817954317832,0.0,2807.7353515625
C3,780,1,69.96686096370287,0.0,2773.6123046875
C3,780,2,55.51901429423366,0.0,2783.94091796875
C3,780,3,25.59817954317832,0.0,2807.7353515625
C3,810,1,69.96686096370287,0.0,2773.6123046875
C3,810,2,55.51901429423366,0.0,2783.94091796875
C3,810,3,25.59817954317832,0.0,2807.7353515625
C3,840,1,69.96686096370287,0.0,2773.6123046875
C3,840,2,55.51901429423366,0.0,2783.94091796875
C3,840,3,25.59817954317832,0.0,2807.7353515625
C3,870,1,69.96686096370287,0.0,2773.6123046875
C3,870,2,55.51901429423366,0.0,2783.94091796875
C3,870,3,25.59817954317832,0.0,2807.7353515625
C3,900,1,69.96686096370287,0.0,2773.6123046875
C3,900,2,55.51901429423366,0.0,2783.94091796875
C3,900,3,25.59817954317832,0.0,2807.7353515625
C4,0,1,0.0,0.0,2773.6123046875
C4,0,2,0.0,0.0,2783.94091796875
C4,0,3,0.0,0.0,2807.7353515625
C4,30,1,4.118506734703812,3.872650928387207,2773.6123046875
C4,30,2,3.455990096062025,2.9883333053596535,2783.94091796875
C4,30,3,3.455937794752863,2.3451624738025023,2807.7353515625
C4,60,1,22.60634245519064,0.0,2773.6123046875
C4,60,2,7.458932750898093,2.478997568900641,2783.94091796875
C4,60,3,5.297096543430993,0.0,2807.7353515625
C4,90,1,41.76354065335895,0.0,2773.6123046875
C4,90,2,21.13039529034736,0.0,2783.94091796875
C4,90,3,7.127586106197573,0.0,2807.7353515625
C4,120,1,61.62852987613268,0.0,2773.6123046875
C4,120,2,41.91925937351324,0.0,2783.94091796875
C4,120,3,8.76693163328041,0.0,2807.7353515625
C4,150,1,67.61687672400555,0.0,2773.6123046875
C4,150,2,53.83961935233994,0.0,2783.94091796875
C4,150,3,6.494610422788692,0.0,2807.7353515625
C4,180,1,71.83208107527277,0.0,2773.6123046875
C4,180,2,58.79321825812863,0.0,2783.94091796875
C4,180,3,2.350632541812048,0.0,2807.7353515625
C4,210,1,71.83208107527277,0.0,2773.6123046875
C4,210,2,55.56333676757683,0.0,2783.94091796875
C4,210,3,0.5098587404254836,0.0,2807.7353515625
C4,240,1,71.83208107527277,0.0,2773.6123046875
C4,240,2,55.56333676757683,0.0,2783.94091796875
C4,240,3,0.2178712604234724,0.0,2807.7353515625
C4,270,1,71.83208107527277,0.0,2773.6123046875
C4,270,2,55.56333676757683,0.0,2783.94091796875
C4,270,3,0.1204008736534641,0.0,2807.7353515625
C4,300,1,71.83208107527277,0.0,2773.6123046875
C4,300,2,55.56333676757683,0.0,2783.94091796875
C4,300,3,0.0763008908874456,0.0,2807.7353515625
C4,330,1,71.83208107527277,0.0,2773.6123046875
C4,330,2,55.56333676757683,0.0,2783.94091796875
C4,330,3,0.05266016383516574,0.0,2807.7353515625
C4,360,1,71.83208107527277,0.0,2773.6123046875
C4,360,2,55.56333676757683,0.0,2783.94091796875
C4,360,3,0.03852720462308432,0.0,2807.7353515625
C4,390,1,71.83208107527277,0.0,2773.6123046875
C4,390,2,55.56333676757683,0.0,2783.94091796875
C4,390,3,0.02940887676571339,0.0,2807.7353515625
C4,420,1,71.83208107527277,0.0,2773.6123046875
C4,420,2,55.56333676757683,0.0,2783.94091796875
C4,420,3,0.02318456083723663,0.0,2807.7353515625
C4,450,1,71.83208107527277,0.0,2773.6123046875
C4,450,2,55.56333676757683,0.0,2783.94091796875
C4,450,3,0.01874704438473222,0.0,2807.7353515625
C4,480,1,71.83208107527277,0.0,2773.6123046875
C4,480,2,55.56333676757683,0.0,2783.94091796875
C4,480,3,0.01547225905299786,0.0,2807.7353515625
C4,510,1,71.83208107527277,0.0,2773.6123046875
C4,510,2,55.56333676757683,0.0,2783.94091796875
C4,510,3,0.01298666102427847,0.0,2807.7353515625
C4,540,1,71.83208107527277,0.0,2773.6123046875
C4,540,2,55.56333676757683,0.0,2783.94091796875
C4,540,3,0.01239105758757198,0.0,2807.7353515625
C4,570,1,71.83208107527277,0.0,2773.6123046875
C4,570,2,55.56333676757683,0.0,2783.94091796875
C4,570,3,0.01239105758757198,0.0,2807.7353515625
C4,600,1,71.83208107527277,0.0,2773.6123046875
C4,600,2,55.56333676757683,0.0,2783.94091796875
C4,600,3,0.01239105758757198,0.0,2807.7353515625
C4,630,1,71.83208107527277,0.0,2773.6123046875
C4,630,2,55.56333676757683,0.0,2783.94091796875
C4,630,3,0.01239105758757198,0.0,2807.7353515625
C4,660,1,71.83208107527277,0.0,2773.6123046875
C4,660,2,55.56333676757683,0.0,2783.94091796875
C4,660,3,0.01239105758757198,0.0,2807.7353515625
C4,690,1,71.83208107527277,0.0,2773.6123046875
C4,690,2,55.56333676757683,0.0,2783.94091796875
C4,690,3,0.01239105758757198,0.0,2807.7353515625
C4,720,1,71.83208107527277,0.0,2773.6123046875
C4,720,2,55.56333676757683,0.0,2783.94091796875
C4,720,3,0.01239105758757198,0.0,2807.7353515625
C4,750,1,71.83208107527277,0.0,2773.6123046875
C4,750,2,55.56333676757683,0.0,2783.94091796875
C4,750,3,0.01239105758757198,0.0,2807.7353515625
C4,780,1,71.83208107527277,0.0,2773.6123046875
C4,780,2,55.56333676757683,0.0,2783.94091796875
C4,780,3,0.01239105758757198,0.0,2807.7353515625
C4,810,1,71.83208107527277,0.0,2773.6123046875
C4,810,2,55.56333676757683,0.0,2783.94091796875
C4,810,3,0.01239105758757198,0.0,2807.7353515625
C4,840,1,71.83208107527277,0.0,2773.6123046875
C4,840,2,55.56333676757683,0.0,2783.94091796875
C4,840,3,0.01239105758757198,0.0,2807.7353515625
C4,870,1,71.83208107527277,0.0,2773.6123046875
C4,870,2,55.56333676757683,0.0,2783.94091796875
C4,870,3,0.01239105758757198,0.0,2807.7353515625
C4,900,1,71.83208107527277,0.0,2773.6123046875
C4,900,2,55.56333676757683,0.0,2783.94091796875
C4,900,3,0.01239105758757198,0.0,2807.7353515625
C5,0,1,0.0,0.0,2773.6123046875
C5,0,2,0.0,0.0,2783.94091796875
C5,0,3,0.0,0.0,2807.7353515625
C5,30,1,30.05310442279342,0.0,2773.6123046875
C5,30,2,16.53104487000019,4.0083403552237336,2783.94091796875
C5,30,3,10.9313362715549,3.627782578162734,2807.7353515625
C5,60,1,69.88484130506289,0.0,2773.6123046875
C5,60,2,57.21729541611638,0.0,2783.94091796875
C5,60,3,36.52805845305875,0.0,2807.7353515625
C5,90,1,91.95267239930594,0.0,2773.6123046875
C5,90,2,77.9082103565813,0.0,2783.94091796875
C5,90,3,53.4183346305165,0.0,2807.7353515625
C5,120,1,91.95267239930594,0.0,2773.6123046875
C5,120,2,77.9082103565813,0.0,2783.94091796875
C5,120,3,53.4183346305165,0.0,2807.7353515625
C5,150,1,91.95267239930594,0.0,2773.6123046875
C5,150,2,77.9082103565813,0.0,2783.94091796875
C5,150,3,53.4183346305165,0.0,2807.7353515625
C5,180,1,91.95267239930594,0.0,2773.6123046875
C5,180,2,77.9082103565813,0.0,2783.94091796875
C5,180,3,53.4183346305165,0.0,2807.7353515625
C5,210,1,91.95267239930594,0.0,2773.6123046875
C5,210,2,77.9082103565813,0.0,2783.94091796875
C5,210,3,53.4183346305165,0.0,2807.7353515625
C5,240,1,91.95267239930594,0.0,2773.6123046875
C5,240,2,77.9082103565813,0.0,2783.94091796875
C5,240,3,49.2551030626182,0.0,2807.7353515625
C5,270,1,91.95267239930594,0.0,2773.6123046875
C5,270,2,77.9082103565813,0.0,2783.94091796875
C5,270,3,49.2551030626182,0.0,2807.7353515625
C5,300,1,91.95267239930594,0.0,2773.6123046875
C5,300,2,77.9082103565813,0.0,2783.94091796875
C5,300,3,49.2551030626182,0.0,2807.7353515625
C5,330,1,91.95267239930594,0.0,2773.6123046875
