distance_from_source_m,x,y,native_z,z32,z64
3960.0,353072.61301147845,3132001.901523441,3489.248779296875,3489.248779296875,3489.248779296875
3980.0,353061.5186055686,3132018.5422613304,3488.69384765625,3488.69384765625,3488.69384765625
4000.0,353050.4241996588,3132035.18299922,3487.416748046875,3487.416748046875,3487.416748046875
4020.0,353039.32979374897,3132051.8237371095,3488.150390625,3488.150390625,3488.150390625
4040.0,353028.2353878391,3132068.464474999,3485.748046875,3485.748046875,3485.748046875
4060.0,353017.14098192926,3132085.1052128887,3485.5078125,3485.5078125,3485.5078125
4080.0,353006.04657601943,3132101.745950778,3483.79638671875,3483.79638671875,3483.79638671875
4100.0,352994.9521701096,3132118.386688668,3483.150146484375,3483.150146484375,3483.150146484375
4120.0,352983.8577641998,3132135.027426557,3483.150146484375,3483.150146484375,3483.150146484375
4140.0,352972.76335828996,3132151.6681644465,3481.712158203125,3481.712158203125,3481.712158203125
4160.0,352961.66895238013,3132168.3089023363,3484.925048828125,3484.925048828125,3484.925048828125
4180.0,352950.5745464703,3132184.9496402256,3480.154052734375,3480.154052734375,3480.154052734375
4200.0,352939.4801405604,3132201.5903781154,3482.484619140625,3482.484619140625,3482.484619140625
4220.0,352928.3857346506,3132218.2311160048,3482.484619140625,3482.484619140625,3482.484619140625
4240.0,352917.2913287408,3132234.8718538946,3481.064208984375,3481.064208984375,3481.064208984375
4260.0,352906.19692283095,3132251.512591784,3481.064208984375,3481.064208984375,3481.064208984375
4280.0,352895.1025169211,3132268.153329673,3484.46240234375,3484.46240234375,3484.46240234375
4300.0,352884.0081110113,3132284.794067563,3475.953125,3475.953125,3475.953125
4320.0,352872.91370510147,3132301.4348054524,3475.953125,3475.953125,3475.953125
4340.0,352861.8192991916,3132318.075543342,3469.16015625,3469.16015625,3469.16015625
4360.0,352850.72489328176,3132334.7162812315,3469.16015625,3469.16015625,3469.16015625
4380.0,352839.63048737193,3132351.357019121,3470.92724609375,3470.92724609375,3470.92724609375
4400.0,352828.5360814621,3132367.9977570106,3462.218994140625,3462.218994140625,3462.218994140625
4420.0,352817.4416755523,3132384.6384949,3462.336669921875,3462.336669921875,3462.336669921875
4440.0,352806.34726964246,3132401.2792327898,3457.2333984375,3457.2333984375,3457.2333984375
4460.0,352795.25286373263,3132417.919970679,3457.2333984375,3457.2333984375,3457.2333984375
4480.0,352784.1584578228,3132434.5607085684,3456.44189453125,3456.44189453125,3456.44189453125
4500.0,352773.0640519129,3132451.201446458,3453.532958984375,3453.532958984375,3453.532958984375
4520.0,352761.9696460031,3132467.8421843476,3451.06005859375,3451.06005859375,3451.06005859375
4540.0,352750.8752400933,3132484.4829222374,3451.06005859375,3451.06005859375,3451.06005859375
4560.0,352739.78083418345,3132501.1236601267,3448.708251953125,3448.708251953125,3448.708251953125
4580.0,352728.6864282736,3132517.764398016,3448.04248046875,3448.04248046875,3448.04248046875
4600.0,352717.5920223638,3132534.405135906,3447.19921875,3447.19921875,3447.19921875
4620.0,352706.49761645397,3132551.045873795,3445.115966796875,3445.115966796875,3445.115966796875
4640.0,352695.40321054414,3132567.686611685,3445.115966796875,3445.115966796875,3445.115966796875
4660.0,352684.30880463426,3132584.3273495743,3444.120361328125,3444.120361328125,3444.120361328125
4680.0,352673.21439872443,3132600.968087464,3444.120361328125,3444.120361328125,3444.120361328125
4700.0,352662.1199928146,3132617.6088253534,3444.0595703125,3444.0595703125,3444.0595703125
4720.0,352647.6182797199,3132631.2610739553,3442.753662109375,3442.753662109375,3442.753662109375
4740.0,352632.5664383707,3132644.430814727,3442.753662109375,3442.753662109375,3442.753662109375
4760.0,352617.51459702145,3132657.6005554986,3443.40087890625,3443.40087890625,3443.40087890625
4780.0,352602.4627556722,3132670.7702962705,3440.3984375,3440.3984375,3440.3984375
4800.0,352587.410914323,3132683.9400370424,3440.3984375,3440.3984375,3440.3984375
4820.0,352572.3590729738,3132697.1097778142,3437.117431640625,3437.117431640625,3437.117431640625
4840.0,352557.30723162455,3132710.279518586,3437.117431640625,3437.117431640625,3437.117431640625
4860.0,352542.2553902753,3132723.449259358,3433.7919921875,3433.7919921875,3433.7919921875
4880.0,352527.2035489261,3132736.61900013,3433.7919921875,3433.7919921875,3433.7919921875
4900.0,352512.1517075769,3132749.7887409017,3429.756103515625,3429.756103515625,3429.756103515625
4920.0,352497.0998662277,3132762.9584816736,3429.756103515625,3429.756103515625,3429.756103515625
4940.0,352482.0480248785,3132776.1282224455,3426.6337890625,3426.6337890625,3426.6337890625
4960.0,352466.99618352926,3132789.2979632174,3426.6337890625,3426.6337890625,3426.6337890625
4980.0,352451.94434218004,3132802.4677039892,3424.85107421875,3424.85107421875,3424.85107421875
5000.0,352436.8925008308,3132815.637444761,3422.51416015625,3422.51416015625,3422.51416015625
5020.0,352421.8406594816,3132828.807185533,3418.649658203125,3418.649658203125,3418.649658203125
5040.0,352404.1363628428,3132838.025829432,3424.3896484375,3424.3896484375,3424.3896484375
5060.0,352386.24765725096,3132846.969777791,3416.864990234375,3416.864990234375,3416.864990234375
5080.0,352368.3589516591,3132855.9137261496,3411.69140625,3411.69140625,3411.69140625
5100.0,352350.47024606727,3132864.857674509,3417.409912109375,3417.409912109375,3417.409912109375
5120.0,352332.5815404754,3132873.8016228676,3406.84228515625,3406.84228515625,3406.84228515625
5140.0,352314.6928348836,3132882.745571227,3406.84228515625,3406.84228515625,3406.84228515625
5160.0,352296.80412929173,3132891.6895195856,3399.1025390625,3399.1025390625,3399.1025390625
5180.0,352278.9154236999,3132900.633467945,3401.704833984375,3401.704833984375,3401.704833984375
5200.0,352261.026718108,3132909.5774163036,3401.704833984375,3401.704833984375,3401.704833984375
5220.0,352243.13801251614,3132918.521364663,3391.3193359375,3391.3193359375,3391.3193359375
5240.0,352225.2493069243,3132927.4653130216,3388.439208984375,3388.439208984375,3388.439208984375
5260.0,352207.36060133245,3132936.409261381,3388.439208984375,3388.439208984375,3388.439208984375
5280.0,352189.4718957406,3132945.3532097396,3371.587158203125,3371.587158203125,3371.587158203125
